index,ess
243273.MG_001,1
243273.MG_002,0
243273.MG_003,1
243273.MG_004,1
243273.MG_005,1
243273.MG_006,1
243273.MG_007,1
243273.MG_008,1
243273.MG_009,0
243273.MG_010,0
243273.MG_018,0
243273.MG_019,1
243273.MG_020,1
243273.MG_024,0
243273.MG_026,1
243273.MG_031,1
243273.MG_034,1
243273.MG_035,1
243273.MG_038,1
243273.MG_044,1
243273.MG_047,1
243273.MG_048,1
243273.MG_054,1
243273.MG_056,0
243273.MG_057,1
243273.MG_058,1
243273.MG_059,1
243273.MG_066,0
243273.MG_072,1
243273.MG_073,1
243273.MG_081,1
243273.MG_083,1
243273.MG_084,1
243273.MG_085,1
243273.MG_086,1
243273.MG_087,1
243273.MG_091,1
243273.MG_094,1
243273.MG_097,1
243273.MG_098,1
243273.MG_102,1
243273.MG_103,0
243273.MG_108,1
243273.MG_109,1
243273.MG_111,1
243273.MG_112,0
243273.MG_115,0
243273.MG_122,1
243273.MG_124,1
243273.MG_126,1
243273.MG_127,1
243273.MG_130,1
243273.MG_132,1
243273.MG_136,1
243273.MG_140,0
243273.MG_142,1
243273.MG_155,1
243273.MG_163,1
243273.MG_170,1
243273.MG_171,1
243273.MG_172,1
243273.MG_173,1
243273.MG_177,1
243273.MG_179,1
243273.MG_180,1
243273.MG_188,1
243273.MG_190,1
243273.MG_191,1
243273.MG_192,1
243273.MG_194,1
243273.MG_195,1
243273.MG_200,1
243273.MG_201,1
243273.MG_203,1
243273.MG_204,1
243273.MG_205,1
243273.MG_206,1
243273.MG_210,0
243273.MG_213,0
243273.MG_215,1
243273.MG_216,1
243273.MG_222,1
243273.MG_224,1
243273.MG_227,0
243273.MG_228,1
243273.MG_229,1
243273.MG_231,1
243273.MG_235,1
243273.MG_238,0
243273.MG_239,1
243273.MG_244,0
243273.MG_247,1
243273.MG_249,1
243273.MG_250,1
243273.MG_254,1
243273.MG_258,1
243273.MG_261,1
243273.MG_262,1
243273.MG_266,1
243273.MG_268,0
243273.MG_275,1
243273.MG_276,1
243273.MG_282,1
243273.MG_283,1
243273.MG_297,1
243273.MG_298,0
243273.MG_299,1
243273.MG_300,1
243273.MG_301,1
243273.MG_303,1
243273.MG_304,1
243273.MG_305,1
243273.MG_308,1
243273.MG_315,0
243273.MG_334,1
243273.MG_336,1
243273.MG_339,0
243273.MG_340,1
243273.MG_341,1
243273.MG_345,1
243273.MG_352,0
243273.MG_355,0
243273.MG_357,1
243273.MG_358,0
243273.MG_359,0
243273.MG_360,0
243273.MG_361,1
243273.MG_362,1
243273.MG_367,0
243273.MG_368,1
243273.MG_369,1
243273.MG_375,1
243273.MG_378,1
243273.MG_379,1
243273.MG_380,0
243273.MG_384,1
243273.MG_392,1
243273.MG_393,1
243273.MG_394,1
243273.MG_400,1
243273.MG_401,1
243273.MG_407,1
243273.MG_417,1
243273.MG_418,1
243273.MG_419,1
243273.MG_421,1
243273.MG_424,1
243273.MG_425,1
243273.MG_426,1
243273.MG_428,0
243273.MG_431,1
243273.MG_433,1
243273.MG_434,1
243273.MG_445,1
243273.MG_451,1
243273.MG_453,1
243273.MG_455,1
243273.MG_457,1
243273.MG_458,1
243273.MG_459,1
243273.MG_462,1
243273.MG_463,0
243273.MG_464,1
243273.MG_465,1
243273.MG_466,1
243273.MG_469,1
243273.MG_470,1
243273.MG_498,0
243273.MG_522,1
243273.MG_070,1
243273.MG_089,1
243273.MG_106,1
243273.MG_113,1
243273.MG_141,1
243273.MG_151,1
243273.MG_157,1
243273.MG_162,1
243273.MG_168,1
243273.MG_169,1
243273.MG_184,1
243273.MG_196,1
243273.MG_202,1
243273.MG_246,1
243273.MG_251,1
243273.MG_278,1
243273.MG_311,1
243273.MG_329,1
243273.MG_330,1
243273.MG_356,1
243273.MG_382,1
243273.MG_391,1
243273.MG_399,1
243273.MG_442,1
243273.MG_023,1
243273.MG_029,1
243273.MG_030,1
243273.MG_036,1
243273.MG_041,1
243273.MG_042,1
243273.MG_046,1
243273.MG_049,1
243273.MG_050,1
243273.MG_053,1
243273.MG_060,1
243273.MG_062,0
243273.MG_063,0
243273.MG_077,1
243273.MG_078,1
243273.MG_079,1
243273.MG_088,1
243273.MG_090,1
243273.MG_099,1
243273.MG_104,1
243273.MG_107,1
243273.MG_118,1
243273.MG_138,0
243273.MG_143,1
243273.MG_149,0
243273.MG_152,1
243273.MG_164,1
243273.MG_167,1
243273.MG_175,1
243273.MG_176,1
243273.MG_178,1
243273.MG_207,0
243273.MG_212,1
243273.MG_232,1
243273.MG_240,1
243273.MG_253,1
243273.MG_257,1
243273.MG_292,1
243273.MG_294,0
243273.MG_313,1
243273.MG_317,1
243273.MG_366,1
243273.MG_387,1
243273.MG_398,0
243273.MG_405,1
243273.MG_408,0
243273.MG_410,0
243273.MG_430,1
243273.MG_435,1
243273.MG_443,1
243273.MG_446,1
243273.MG_460,0
243273.MG_461,1
243273.MG_014,1
243273.MG_015,1
243273.MG_021,1
243273.MG_051,0
243273.MG_061,0
243273.MG_082,1
243273.MG_100,1
243273.MG_105,1
243273.MG_153,1
243273.MG_154,1
243273.MG_156,1
243273.MG_159,1
243273.MG_174,1
243273.MG_187,1
243273.MG_208,1
243273.MG_209,1
243273.MG_234,1
243273.MG_248,0
243273.MG_271,0
243273.MG_323,1
243273.MG_332,1
243273.MG_347,1
243273.MG_349,1
243273.MG_365,1
243273.MG_370,0
243273.MG_372,1
243273.MG_396,1
243273.MG_423,1
243273.MG_444,1
243273.MG_454,0
243273.MG_505,1
243273.MG_516,1
243273.MG_013,1
243273.MG_027,1
243273.MG_033,0
243273.MG_043,1
243273.MG_045,1
243273.MG_092,1
243273.MG_114,0
243273.MG_120,1
243273.MG_121,0
243273.MG_125,1
243273.MG_134,0
243273.MG_146,1
243273.MG_150,1
243273.MG_158,1
243273.MG_161,1
243273.MG_165,1
243273.MG_166,1
243273.MG_189,1
243273.MG_198,1
243273.MG_214,0
243273.MG_241,1
243273.MG_245,1
243273.MG_263,1
243273.MG_265,1
243273.MG_270,1
243273.MG_272,1
243273.MG_287,1
243273.MG_324,1
243273.MG_403,1
243273.MG_429,1
243273.MG_037,1
243273.MG_039,0
243273.MG_052,1
243273.MG_069,1
243273.MG_071,1
243273.MG_116,0
243273.MG_128,1
243273.MG_129,1
243273.MG_145,1
243273.MG_181,1
243273.MG_182,1
243273.MG_230,1
243273.MG_236,1
243273.MG_264,0
243273.MG_273,1
243273.MG_295,1
243273.MG_302,1
243273.MG_306,1
243273.MG_310,1
243273.MG_326,1
243273.MG_327,1
243273.MG_337,1
243273.MG_344,1
243273.MG_351,1
243273.MG_353,1
243273.MG_363,1
243273.MG_383,1
243273.MG_437,0
243273.MG_468,1
243273.MG_482,1
243273.MG_259,1
243273.MG_346,0
243273.MG_080,1
243273.MG_110,0
243273.MG_119,1
243273.MG_197,1
243273.MG_252,0
243273.MG_335,1
243273.MG_411,0
243273.MG_065,1
243273.MG_221,1
243273.MG_233,1
243273.MG_448,1
243273.MG_467,1
243273.MG_526,1
243273.MG_067,0
243273.MG_316,0
243273.MG_371,1
243273.MG_373,1
243273.MG_388,1
243273.MG_390,0
243273.MG_481,1
243273.MG_011,0
243273.MG_012,0
243273.MG_022,1
243273.MG_025,1
243273.MG_028,1
243273.MG_133,1
243273.MG_055,1
243273.MG_137,1
243273.MG_123,1
243273.MG_322,1
243273.MG_148,1
243273.MG_075,1
243273.MG_093,1
243273.MG_135,1
243273.MG_139,1
243273.MG_185,0
243273.MG_186,1
243273.MG_218,1
243273.MG_223,1
243273.MG_260,0
243273.MG_277,1
243273.MG_289,0
243273.MG_290,0
243273.MG_291,0
243273.MG_293,0
243273.MG_307,1
243273.MG_309,1
243273.MG_312,1
243273.MG_321,1
243273.MG_328,0
243273.MG_338,1
243273.MG_385,0
243273.MG_386,1
243273.MG_395,1
243273.MG_409,1
243273.MG_412,0
243273.MG_414,0
243273.MG_422,1
243273.MG_438,0
243273.MG_525,0
243273.MG_274,1
243273.MG_354,1
243273.MG_432,1
243273.MG_517,1
243273.MG_160,1
243273.MG_325,1
243273.MG_473,1
243273.MG_117,1
243273.MG_404,1
243273.MG_032,0
243273.MG_064,1
243273.MG_183,0
243273.MG_402,1
243273.MG_521,1
243273.MG_318,1
243273.MG_342,1
243273.MG_447,1
243273.MG_377,1
243273.MG_450,1
243273.MG_476,1
243273.MG_040,0
243273.MG_096,0
243273.MG_225,1
243273.MG_226,0
243273.MG_068,1
243273.MG_440,1
243273.MG_474,1
243273.MG_074,1
243273.MG_076,1
243273.MG_219,1
243273.MG_267,1
243273.MG_389,1
243273.MG_406,1
243273.MG_441,1
243273.MG_478,0
243273.MG_524,1
243273.MG_285,0
243273.MG_515,1
243273.MG_439,1
243273.MG_256,0
243273.MG_284,0
243273.MG_095,1
243273.MG_101,1
243273.MG_427,1
243273.MG_397,0
243273.MG_350,1
243273.MG_376,1
243273.MG_491,1
243273.MG_269,0
243273.MG_281,0
243273.MG_319,1
243273.MG_364,1
243273.MG_452,0
243273.MG_144,1
243273.MG_147,1
243273.MG_477,1
243273.MG_343,0
243273.MG_217,1
243273.MG_211,1
243273.MG_480,1
243273.MG_296,1
243273.MG_220,0
243273.MG_237,0
243273.MG_242,1
243273.MG_255,0
243273.MG_279,0
243273.MG_280,0
243273.MG_286,0
243273.MG_314,1
243273.MG_320,1
243273.MG_331,1
243273.MG_374,1
243273.MG_381,1
