index,ess
211586.SO_0001,0
211586.SO_0002,0
211586.SO_0003,0
211586.SO_0004,1
211586.SO_0005,0
211586.SO_0006,1
211586.SO_0007,1
211586.SO_0008,1
211586.SO_0009,1
211586.SO_0010,0
211586.SO_0011,1
211586.SO_0073,0
211586.SO_0083,0
211586.SO_0129,0
211586.SO_0139,0
211586.SO_0224,1
211586.SO_0274,0
211586.SO_0286,1
211586.SO_0289,0
211586.SO_0406,0
211586.SO_0497,0
211586.SO_0584,0
211586.SO_0611,0
211586.SO_0768,0
211586.SO_0799,0
211586.SO_0811,0
211586.SO_0818,0
211586.SO_0847,0
211586.SO_0848,0
211586.SO_0858,0
211586.SO_0897,0
211586.SO_1064,0
211586.SO_1102,0
211586.SO_1163,0
211586.SO_1170,0
211586.SO_1201,0
211586.SO_1207,1
211586.SO_1210,0
211586.SO_1251,0
211586.SO_1288,0
211586.SO_1294,0
211586.SO_1325,0
211586.SO_1335,1
211586.SO_1353,0
211586.SO_1463,0
211586.SO_1608,0
211586.SO_1622,0
211586.SO_1627,1
211586.SO_1632,1
211586.SO_1644,1
211586.SO_1663,0
211586.SO_1699,0
211586.SO_1814,0
211586.SO_1898,0
211586.SO_1938,0
211586.SO_1976,0
211586.SO_2001,0
211586.SO_2016,0
211586.SO_2053,0
211586.SO_2054,0
211586.SO_2055,0
211586.SO_2147,0
211586.SO_2148,0
211586.SO_2268,1
211586.SO_2328,1
211586.SO_2329,0
211586.SO_2330,1
211586.SO_2335,1
211586.SO_2356,0
211586.SO_2389,0
211586.SO_2415,1
211586.SO_2416,1
211586.SO_2484,0
211586.SO_2514,0
211586.SO_2560,0
211586.SO_2562,0
211586.SO_2621,0
211586.SO_2705,1
211586.SO_2788,0
211586.SO_2877,1
211586.SO_2887,0
211586.SO_2890,0
211586.SO_2896,1
211586.SO_2944,0
211586.SO_3063,0
211586.SO_3073,0
211586.SO_3108,0
211586.SO_3113,0
211586.SO_3291,1
211586.SO_3317,0
211586.SO_3404,0
211586.SO_3423,0
211586.SO_3537,1
211586.SO_3541,0
211586.SO_3665,0
211586.SO_3723,0
211586.SO_3727,0
211586.SO_3728,0
211586.SO_3736,0
211586.SO_3737,0
211586.SO_3738,0
211586.SO_3746,0
211586.SO_3779,0
211586.SO_3799,0
211586.SO_3830,0
211586.SO_3836,1
211586.SO_3917,1
211586.SO_3920,0
211586.SO_3925,0
211586.SO_3926,0
211586.SO_3949,0
211586.SO_3957,1
211586.SO_3988,0
211586.SO_4035,0
211586.SO_4057,0
211586.SO_4112,0
211586.SO_4114,0
211586.SO_4114.2,0
211586.SO_4206,0
211586.SO_4215,1
211586.SO_4233,1
211586.SO_4251,0
211586.SO_4398,0
211586.SO_4506,0
211586.SO_4525.1,0
211586.SO_4529,0
211586.SO_4604,0
211586.SO_4741,1
211586.SO_4745,1
211586.SO_4746,1
211586.SO_4747,1
211586.SO_4748,1
211586.SO_4749,1
211586.SO_4750,1
211586.SO_4751,1
211586.SO_4752,1
211586.SO_4753,1
211586.SO_4754,1
211586.SO_4755,0
211586.SO_4756,0
211586.SO_4757,0
211586.SO_4758,0
211586.SO_A0160,0
211586.SO_A0161,0
211586.SO_A0165,0
211586.SO_A0173,0
211586.SO_0110,0
211586.SO_0232,1
211586.SO_0288,0
211586.SO_0363,0
211586.SO_0429,0
211586.SO_0491,0
211586.SO_0544,0
211586.SO_0554,0
211586.SO_0575,0
211586.SO_0741,0
211586.SO_0873,0
211586.SO_0939,0
211586.SO_0981,0
211586.SO_1095,0
211586.SO_1115,0
211586.SO_1185,0
211586.SO_1188,0
211586.SO_1190,0
211586.SO_1239,0
211586.SO_1270,0
211586.SO_1277,0
211586.SO_1309,0
211586.SO_1388,0
211586.SO_1401,0
211586.SO_1505,0
211586.SO_1643,1
211586.SO_1659,0
211586.SO_1666,0
211586.SO_1671,0
211586.SO_1722,0
211586.SO_1744,0
211586.SO_1745,1
211586.SO_1805,0
211586.SO_1871,0
211586.SO_1944,0
211586.SO_2101,0
211586.SO_2175,0
211586.SO_2222,0
211586.SO_2225,0
211586.SO_2443,0
211586.SO_2450,0
211586.SO_2570,0
211586.SO_2597,0
211586.SO_2736,0
211586.SO_2740,0
211586.SO_3106,0
211586.SO_3148,0
211586.SO_3149,0
211586.SO_3194.1,0
211586.SO_3195,0
211586.SO_3254,0
211586.SO_3479,0
211586.SO_3493,0
211586.SO_3532,1
211586.SO_3556,0
211586.SO_3688,0
211586.SO_3689,0
211586.SO_3749,0
211586.SO_3844,0
211586.SO_3901,0
211586.SO_3990,0
211586.SO_4022,0
211586.SO_4054,0
211586.SO_4075,0
211586.SO_4193,0
211586.SO_4241,0
211586.SO_4324,0
211586.SO_4334,0
211586.SO_4365,0
211586.SO_4378,0
211586.SO_4469,0
211586.SO_4522,0
211586.SO_4633,0
211586.SO_4634,0
211586.SO_4659,0
211586.SO_4671,0
211586.SO_0023,0
211586.SO_0031,1
211586.SO_0053,1
211586.SO_0187,0
211586.SO_0195,0
211586.SO_0206,0
211586.SO_0219,1
211586.SO_0220,1
211586.SO_0227,1
211586.SO_0237,1
211586.SO_0256,1
211586.SO_0277,0
211586.SO_0279,0
211586.SO_0280,0
211586.SO_0292,1
211586.SO_0294,1
