index,ess
431947.PGN_0001,1
431947.PGN_0002,0
431947.PGN_0017,0
431947.PGN_0033,1
431947.PGN_0034,1
431947.PGN_0035,0
431947.PGN_0043,1
431947.PGN_0044,0
431947.PGN_0079,0
431947.PGN_0084,0
431947.PGN_0159,0
431947.PGN_0192,1
431947.PGN_0221,0
431947.PGN_0248,1
431947.PGN_0254,1
431947.PGN_0255,1
431947.PGN_0264,1
431947.PGN_0269,0
431947.PGN_0270,0
431947.PGN_0282,0
431947.PGN_0283,0
431947.PGN_0308,0
431947.PGN_0330,0
431947.PGN_0355,1
431947.PGN_0365,1
431947.PGN_0368,0
431947.PGN_0369,1
431947.PGN_0377,0
431947.PGN_0385,0
431947.PGN_0413,1
431947.PGN_0420,1
431947.PGN_0433,1
431947.PGN_0434,0
431947.PGN_0465,0
431947.PGN_0472,1
431947.PGN_0484,0
431947.PGN_0487,1
431947.PGN_0490,0
431947.PGN_0491,0
431947.PGN_0497,0
431947.PGN_0512,1
431947.PGN_0535,0
431947.PGN_0543,1
431947.PGN_0548,1
431947.PGN_0549,1
431947.PGN_0564,0
431947.PGN_0568,1
431947.PGN_0572,1
431947.PGN_0582,0
431947.PGN_0584,0
431947.PGN_0618,1
431947.PGN_0622,1
431947.PGN_0623,1
431947.PGN_0626,1
431947.PGN_0630,1
431947.PGN_0631,0
431947.PGN_0634,0
431947.PGN_0635,1
431947.PGN_0637,0
431947.PGN_0638,1
431947.PGN_0662,1
431947.PGN_0694,0
431947.PGN_0696,0
431947.PGN_0733,0
431947.PGN_0747,0
431947.PGN_0760,1
431947.PGN_0761,1
431947.PGN_0781,1
431947.PGN_0792,0
431947.PGN_0793,0
431947.PGN_0813,1
431947.PGN_0824,1
431947.PGN_0833,1
431947.PGN_0863,0
431947.PGN_0866,1
431947.PGN_0870,1
431947.PGN_0875,1
431947.PGN_0894,1
431947.PGN_0904,0
431947.PGN_0916,1
431947.PGN_0965,1
431947.PGN_0975,0
431947.PGN_1015,0
431947.PGN_1020,1
431947.PGN_1024,1
431947.PGN_1045,0
431947.PGN_1049,0
431947.PGN_1057,0
431947.PGN_1062,0
431947.PGN_1096,0
431947.PGN_1104,0
431947.PGN_1113,0
431947.PGN_1126,0
431947.PGN_1130,1
431947.PGN_1136,0
431947.PGN_1153,1
431947.PGN_1175,0
431947.PGN_1178,1
431947.PGN_1179,1
431947.PGN_1205,1
431947.PGN_1209,0
431947.PGN_1226,0
431947.PGN_1229,1
431947.PGN_1244,1
431947.PGN_1304,0
431947.PGN_1305,0
431947.PGN_1314,0
431947.PGN_1316,0
431947.PGN_1327,0
431947.PGN_1354,0
431947.PGN_1374,0
431947.PGN_1377,1
431947.PGN_1378,1
431947.PGN_1381,1
431947.PGN_1382,0
431947.PGN_1388,1
431947.PGN_1390,1
431947.PGN_1405,0
431947.PGN_1432,0
431947.PGN_1443,0
431947.PGN_1445,0
431947.PGN_1446,1
431947.PGN_1447,1
431947.PGN_1449,1
431947.PGN_1451,1
431947.PGN_1452,1
431947.PGN_1458,1
431947.PGN_1470,1
431947.PGN_1472,1
431947.PGN_1482,1
431947.PGN_1516,1
431947.PGN_1527,0
431947.PGN_1549,0
431947.PGN_1550,0
431947.PGN_1555,1
431947.PGN_1566,1
431947.PGN_1567,0
431947.PGN_1570,1
431947.PGN_1571,1
431947.PGN_1572,1
431947.PGN_1574,1
431947.PGN_1575,1
431947.PGN_1578,1
431947.PGN_1579,0
431947.PGN_1585,0
431947.PGN_1587,1
431947.PGN_1588,1
431947.PGN_1590,1
431947.PGN_1593,1
431947.PGN_1594,1
431947.PGN_1613,0
431947.PGN_1625,0
431947.PGN_1646,1
431947.PGN_1647,1
431947.PGN_1703,0
431947.PGN_1706,0
431947.PGN_1711,1
431947.PGN_1712,0
431947.PGN_1714,0
431947.PGN_1715,0
431947.PGN_1728,0
431947.PGN_1733,0
431947.PGN_1736,1
431947.PGN_1743,0
431947.PGN_1751,1
431947.PGN_1757,1
431947.PGN_1771,0
431947.PGN_1782,0
431947.PGN_1786,1
431947.PGN_1791,0
431947.PGN_1796,0
431947.PGN_1812,0
431947.PGN_1832,1
431947.PGN_1841,1
431947.PGN_1843,1
431947.PGN_1844,1
431947.PGN_1847,1
431947.PGN_1848,1
431947.PGN_1852,1
431947.PGN_1853,1
431947.PGN_1856,1
431947.PGN_1858,1
431947.PGN_1861,1
431947.PGN_1864,1
431947.PGN_1865,1
431947.PGN_1866,1
431947.PGN_1868,1
431947.PGN_1869,1
431947.PGN_1871,1
431947.PGN_1872,1
431947.PGN_1882,0
431947.PGN_1891,0
431947.PGN_1895,1
431947.PGN_1903,0
431947.PGN_1937,0
431947.PGN_1938,0
431947.PGN_1941,0
431947.PGN_1970,0
431947.PGN_1979,0
431947.PGN_1982,0
431947.PGN_1996,1
431947.PGN_2001,0
431947.PGN_2003,0
431947.PGN_2022,1
431947.PGN_2023,1
431947.PGN_2042,0
431947.PGN_2043,0
431947.PGN_2050,0
431947.PGN_2062,1
431947.PGN_2075,0
431947.PGN_2080,0
431947.PGN_2083,0
431947.PGN_0168,0
431947.PGN_0169,0
431947.PGN_0187,0
431947.PGN_0190,1
431947.PGN_0224,0
431947.PGN_0225,0
431947.PGN_0227,0
431947.PGN_0232,0
431947.PGN_0233,0
431947.PGN_0234,0
431947.PGN_0242,1
431947.PGN_0358,1
431947.PGN_0361,0
431947.PGN_0428,0
431947.PGN_0518,1
431947.PGN_0546,1
431947.PGN_0547,1
431947.PGN_0613,0
431947.PGN_0643,1
431947.PGN_0676,0
431947.PGN_0700,0
431947.PGN_0753,0
431947.PGN_0767,0
431947.PGN_0777,1
431947.PGN_0782,0
431947.PGN_0808,0
431947.PGN_0829,1
431947.PGN_0941,0
431947.PGN_0946,0
431947.PGN_0990,0
431947.PGN_0991,0
431947.PGN_1019,1
431947.PGN_1026,1
431947.PGN_1068,0
431947.PGN_1073,0
431947.PGN_1078,1
431947.PGN_1079,1
431947.PGN_1131,0
431947.PGN_1134,1
431947.PGN_1135,0
431947.PGN_1146,0
431947.PGN_1186,0
431947.PGN_1189,1
431947.PGN_1202,1
431947.PGN_1233,0
431947.PGN_1234,0
431947.PGN_1235,0
431947.PGN_1236,0
431947.PGN_1239,0
431947.PGN_1240,1
431947.PGN_1242,1
431947.PGN_1243,0
431947.PGN_1251,1
431947.PGN_1255,0
431947.PGN_1302,0
431947.PGN_1310,0
431947.PGN_1370,0
431947.PGN_1389,1
431947.PGN_1523,0
431947.PGN_1524,0
431947.PGN_1525,0
431947.PGN_1528,0
431947.PGN_1614,0
431947.PGN_1628,0
431947.PGN_1651,1
431947.PGN_1667,0
431947.PGN_1668,0
431947.PGN_1768,0
431947.PGN_1886,1
431947.PGN_1896,0
431947.PGN_1920,0
431947.PGN_1943,0
431947.PGN_1955,1
431947.PGN_1969,1
431947.PGN_1991,1
431947.PGN_2019,1
431947.PGN_2054,1
431947.PGN_2079,1
431947.PGN_2086,1
431947.PGN_2087,1
431947.PGN_0003,0
431947.PGN_0004,0
431947.PGN_0014,0
431947.PGN_0291,0
431947.PGN_0348,0
431947.PGN_0400,0
431947.PGN_0463,0
431947.PGN_0511,1
431947.PGN_0513,0
431947.PGN_0628,1
431947.PGN_0639,1
431947.PGN_0642,1
431947.PGN_0828,1
431947.PGN_0857,0
431947.PGN_0923,0
431947.PGN_0931,0
431947.PGN_0989,0
431947.PGN_1360,0
431947.PGN_1502,0
431947.PGN_1675,0
431947.PGN_1806,1
431947.PGN_1846,1
431947.PGN_2053,1
431947.PGN_2068,0
431947.PGN_0008,0
431947.PGN_0020,0
431947.PGN_0038,0
431947.PGN_0041,0
431947.PGN_0099,0
431947.PGN_0137,1
431947.PGN_0143,1
431947.PGN_0149,1
431947.PGN_0157,0
431947.PGN_0158,1
431947.PGN_0161,0
431947.PGN_0173,1
431947.PGN_0207,1
431947.PGN_0230,0
431947.PGN_0267,1
431947.PGN_0367,0
431947.PGN_0375,0
431947.PGN_0378,0
431947.PGN_0380,0
431947.PGN_0381,0
431947.PGN_0396,0
431947.PGN_0469,0
431947.PGN_0520,0
431947.PGN_0522,1
431947.PGN_0528,0
431947.PGN_0529,0
431947.PGN_0530,0
431947.PGN_0531,0
431947.PGN_0570,0
431947.PGN_0660,0
431947.PGN_0663,1
431947.PGN_0664,1
431947.PGN_0665,1
431947.PGN_0667,1
431947.PGN_0675,0
431947.PGN_0692,0
431947.PGN_0714,0
431947.PGN_0736,0
431947.PGN_0738,0
431947.PGN_0742,0
431947.PGN_0744,0
431947.PGN_0770,0
431947.PGN_0841,1
431947.PGN_0856,0
431947.PGN_0877,0
431947.PGN_0886,0
431947.PGN_0905,0
431947.PGN_0932,0
431947.PGN_0974,0
431947.PGN_1000,1
431947.PGN_1046,0
431947.PGN_1117,0
431947.PGN_1140,0
431947.PGN_1150,0
431947.PGN_1155,1
431947.PGN_1156,1
431947.PGN_1168,0
431947.PGN_1198,0
431947.PGN_1206,0
431947.PGN_1208,0
431947.PGN_1220,1
431947.PGN_1225,0
431947.PGN_1267,0
431947.PGN_1315,1
431947.PGN_1342,0
431947.PGN_1346,0
431947.PGN_1349,0
