index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
272635.MYPU_0010,0.2138200782268579,0.0601414495808152,0.5397014454309429,0.0046500073958369,8.780798752103976e+58,0.0045372610647867,454.9999999999993,0.5932203389830499,0.3930869370043394,674.0,57767.95731707317,52949.461648173696,4651860.0,3477423.8536585364,2440493.0
272635.MYPU_0020,0.211212516297262,0.057048202777127,0.5320352317174352,0.002660473338833,7.900646713584561e+58,0.0025798990416774,450.999999999999,0.5880052151238578,0.3865501111877923,688.0,51799.4012345679,52547.68101145904,4458624.0,3709516.2592592593,2000887.0
272635.MYPU_0030,0.0417209908735332,0.012333429405583,0.4380734539521337,4.247269065705028e-05,3.692780955469087e+57,4.397031571023944e-05,357.74999999999784,0.4664276401564484,0.4778225806451613,0.0,58008.5,55713.65979735421,1645374.0,3837160.6875,110019.0
272635.MYPU_0040,0.0456323337679269,0.0067164840879615,0.46184069436384,0.0007322431313434,1.0950960567355037e+57,0.0008357608706382,373.0833333333312,0.4864189482833516,0.1579831932773109,191.0,29680.0,39771.347053572856,964060.0,2587459.1142857145,42332.0
272635.MYPU_0070,0.0560625814863103,0.0035018176413401,0.457050400401555,0.0014789264380315,2.976861342887747e+56,0.0016719299595491,373.08333333333127,0.4864189482833511,0.2148394241417497,563.0,52527.4,44291.190824778496,246189.0,2417043.8,9471.0
272635.MYPU_0090,0.242503259452412,0.0757422372445242,0.5436180016387145,0.0036752064843502,1.3927407598341432e+59,0.0034806408898538,463.9999999999991,0.6049543676662309,0.4833478639930252,697.0,24679.176470588234,32572.967753730994,758443.0,1625521.5882352942,45814.0
272635.MYPU_0100,0.2385919165580182,0.0765541331757534,0.5408704738325983,0.0023579834634333,1.4227588374231389e+59,0.0021994615184008,461.8333333333324,0.6021295089091686,0.5104185432054285,315.0,19904.20930232558,27083.77759835319,697635.0,1149773.5813953488,88046.0
272635.MYPU_0130,0.2099087353324641,0.0578487193867018,0.5358409200702065,0.0036270202697351,8.123977876211343e+58,0.0034748270840005,452.33333333333263,0.5897435897435886,0.3794254658385093,657.0,48565.204081632655,51359.04433262647,3445155.0,3588996.74489796,672738.0
272635.MYPU_0150,0.2503259452411994,0.0709983836724504,0.5459953398383007,0.0044305249094373,1.2237234433676594e+59,0.0042134277902988,466.9999999999992,0.6088657105606247,0.3896705933682373,732.0,63358.44623655914,57903.60945241642,3616776.0,3660014.2849462368,4135096.0
272635.MYPU_0270,0.0808344198174706,0.0092500556902781,0.4711356014202192,0.001898362339154,2.0770613877513407e+57,0.0020552038195879,387.7499999999982,0.505541069100388,0.2755156002115282,648.0,64948.91803278688,58875.420892057664,3567210.0,3764718.5464480873,4209358.0
272635.MYPU_0340,0.2816166883963494,0.0779327018183019,0.5607077891153807,0.007588317402662,1.4744339729943322e+59,0.0070927229042484,480.9999999999993,0.6271186440677957,0.3748062015503876,756.0,16824.60714285714,27846.69959690485,418670.0,1191961.75,29963.0
272635.MYPU_0460,0.2894393741851369,0.0799833271314433,0.5657897328233751,0.0042007624031597,1.5530397450592527e+59,0.00395621710196,484.9999999999995,0.6323337679269875,0.3755248461130814,762.0,31436.23076923077,37126.77198972728,758763.0,2146043.230769231,32669.0
272635.MYPU_0490,0.1877444589308996,0.0519621139896877,0.5256881447425604,0.0029565614812711,6.554726140990083e+58,0.002855765565102,442.1666666666657,0.576488483268143,0.3924825174825175,616.0,52381.11801242236,52903.64637725931,4624030.0,3681437.801242236,1934293.0
272635.MYPU_0510,0.151238591916558,0.042693560866834,0.5068373520014537,0.0009556964292151,4.424907905591161e+58,0.0009334855849015,423.9999999999988,0.5528031290743136,0.4278860569715142,196.0,51016.37373737374,51701.37427889669,3624373.0,3581570.171717172,728904.0
272635.MYPU_0520,0.2020860495436766,0.0489384665064709,0.5309040441234221,0.0035464403087161,5.81403595908487e+58,0.0034034785797226,448.1666666666659,0.5843111690569305,0.3183912861332216,704.0,56185.411458333336,55033.7886769673,4576313.0,3638050.609375,3144121.0
272635.MYPU_0550,0.0795306388526727,0.0172752608386817,0.4805039167787996,0.002748851333843,7.244756193867932e+57,0.002589944055136,392.166666666665,0.511299435028246,0.2879781420765027,319.0,31943.714285714286,39835.99223795313,200032.0,2352514.1428571427,13823.0
272635.MYPU_0580,0.0547588005215123,0.003996962755604,0.4652829852535085,0.0061956222506399,3.878221912801936e+56,0.006278555641695,377.49999999999807,0.4921773142112092,0.1962833914053426,493.0,33408.454545454544,41487.87135599722,2192891.0,2335874.965909091,393220.0
272635.MYPU_0810,0.0677966101694915,0.0114421320927409,0.46184069436384,0.0027706581800208,3.178261350802799e+57,0.0025287883434327,378.9166666666648,0.4940243372446725,0.3122171945701357,586.0,37599.75,40863.53758113257,272559.0,2623485.875,15210.0
272635.MYPU_0820,0.0677966101694915,0.0114421320927409,0.46184069436384,0.0027706581800208,3.178261350802799e+57,0.0025287883434327,378.9166666666648,0.4940243372446725,0.3122171945701357,579.0,18376.947368421053,25901.997178049223,564162.0,1155092.4473684211,73486.0
272635.MYPU_0860,0.089960886571056,0.0214663491793915,0.4826711380529308,0.0031978877062397,1.1186511688724617e+58,0.0029922537824364,396.1666666666651,0.5165145588874378,0.3235294117647059,399.0,22088.33333333333,31104.18234001429,244189.0,1391651.5555555555,78683.0
272635.MYPU_0960,0.2125162972620599,0.0585029191802127,0.5339312945532065,0.0026232334345483,8.308746463589104e+58,0.002582080298294,452.1666666666658,0.5895262929161222,0.3911989699310763,665.0,45396.131868131866,48176.01873791878,2825194.0,3262632.978021978,670778.0
272635.MYPU_1010,0.0495436766623207,0.0067105143537801,0.4509967527141171,0.0002367423949514,1.0931288580465667e+57,0.0002545336697472,367.9999999999979,0.4797913950456281,0.3655761024182077,241.0,40620.333333333336,46646.51532708004,3114257.0,3019247.247619048,590650.0
272635.MYPU_1040,0.2203389830508474,0.0599933474764669,0.5412612761980843,0.0044129023700411,8.737492331902888e+58,0.0041346302126932,457.3333333333327,0.5962624945675784,0.376444068751761,694.0,47577.807692307695,48862.03919222247,3450728.0,3355424.7403846155,766326.0
272635.MYPU_1050,0.2385919165580182,0.0716265620526712,0.5483935624144572,0.0030486193195936,1.2454781958900561e+59,0.0029229344293381,464.9999999999994,0.6062581486310292,0.4384195039932745,666.0,20443.17073170732,30324.95039762614,620946.0,1383408.1219512196,116456.0
272635.MYPU_1280,0.1408083441981747,0.0344998170244666,0.5058106726928756,0.0018454374645767,2.8894438313910626e+58,0.0018487695833216,420.8333333333321,0.5486744893524537,0.3217376254759432,605.0,31866.64814814815,38286.75357221059,1355306.0,2092237.8333333333,192017.0
272635.MYPU_1420,0.1994784876140808,0.0598159018207231,0.5279109275955945,0.0013777460202923,8.686024189734148e+58,0.0013352657966474,446.1666666666657,0.5817036071273346,0.4404024767801857,365.0,25780.7,36086.88393481527,1049870.0,1933576.9,260127.0
272635.MYPU_1430,0.2829204693611473,0.085651203928552,0.5611277949499242,0.0035140302820702,1.7809714634000977e+59,0.0033613019628512,481.4999999999994,0.6277705345501947,0.442694999146612,754.0,27008.06451612904,36935.02317319973,1239968.0,2064147.2741935484,229836.0
272635.MYPU_1470,0.2633637548891786,0.073435510225884,0.5548930416727027,0.0075778825954213,1.3091692288329085e+59,0.0070877383051437,473.9999999999994,0.6179921773142103,0.3831830944288458,742.0,28447.293103448275,38033.37828459941,1242798.0,2152989.0344827585,214909.0
272635.MYPU_1520,0.1134289439374185,0.029904797621997,0.4908948926986557,0.001475814107551,2.171050967150136e+58,0.0014958769793238,406.33333333333167,0.5297696653628833,0.3619353114140604,390.0,20527.09523809524,30830.83937036406,249315.0,1358152.0952380951,95697.0
272635.MYPU_1530,0.1238591916558018,0.0370727924762361,0.4921850238226995,0.000795324929224,3.336580241908665e+58,0.0008183403095853,409.8333333333319,0.534332898739676,0.4618141097424412,295.0,20548.38095238096,30829.825764921883,249315.0,1358152.0952380951,95697.0
272635.MYPU_1540,0.165580182529335,0.0528118376683832,0.5092492224732486,0.0009265186368652,6.771072503403781e+58,0.000908662911717,428.8333333333319,0.5591047370708367,0.5221847269091363,208.0,20514.714285714286,30831.42893952506,249315.0,1358152.0952380951,95697.0
272635.MYPU_1560,0.2151238591916558,0.0544514179929261,0.5362244855104857,0.0039789025359024,7.197741193800568e+58,0.0038799942786957,453.8333333333325,0.5916992611907855,0.3381374722838137,710.0,37975.4375,44291.88627213279,1883762.0,2780714.796875,284754.0
272635.MYPU_1630,0.211212516297262,0.0618283192807258,0.5324133662104823,0.0023444141342529,9.280249548689962e+58,0.0021938467401686,451.1666666666657,0.5882225119513242,0.4225902921555095,596.0,27798.4,35880.354270681135,613337.0,2014122.566666667,116185.0
272635.MYPU_1650,0.2490221642764015,0.0721702928374043,0.5487953159400357,0.0047535718216062,1.2644536144136632e+59,0.0045441881020905,467.8333333333326,0.6099521946979565,0.4076054009368972,727.0,56061.07407407407,53032.78472002256,4363598.0,3477872.574074074,3912398.0
272635.MYPU_1680,0.1890482398956975,0.0444757709322959,0.5223888467630047,0.0037922941530028,4.802020564325187e+58,0.0036749153047536,440.999999999999,0.5749674054758785,0.3083333333333333,699.0,27148.90322580645,35297.7496864272,620947.0,1960871.161290323,116357.0
272635.MYPU_1710,0.1303780964797914,0.0335413628570295,0.4970840121155598,0.0015471534141548,2.7311282187008974e+58,0.0015459629908908,413.9166666666654,0.5396566710126011,0.3658585858585859,505.0,27318.0,35508.87489904627,626119.0,1969767.3548387096,116351.0
272635.MYPU_1820,0.2359843546284224,0.0754700702414172,0.5381505792084401,0.0023836711949326,1.3827425154833113e+59,0.0022703597067008,459.999999999999,0.599739243807039,0.5027624309392266,560.0,27025.29411764706,35747.15845875172,681616.0,1976544.823529412,125193.0
272635.MYPU_1840,0.1981747066492829,0.0594835206857244,0.52828322021026,0.0021620733624121,8.589709178236989e+58,0.0020694807658344,445.9999999999991,0.5814863102998683,0.439177413733008,469.0,27817.83333333333,35879.706492903366,613337.0,2014122.566666667,116185.0
272635.MYPU_2010,0.151238591916558,0.0396161336373338,0.5099425502097676,0.0012715351673781,3.80999088718956e+58,0.0012237228177595,425.499999999999,0.5547588005215107,0.3589205397301349,508.0,28229.12,36191.02356463168,1102403.0,2036487.22,161157.0
272635.MYPU_2050,0.286831812255541,0.0843690851636482,0.5649363546441543,0.0084496193432022,1.7280436666209077e+59,0.0079583575742975,483.9999999999995,0.6310299869621896,0.4173515981735159,759.0,29823.72340425532,36570.170862976775,1106206.0,2128993.063829787,153988.0
272635.MYPU_2090,0.288135593220339,0.0857316164919603,0.5645106301869998,0.0087395704731656,1.7843171460377671e+59,0.0081405839058105,484.1666666666661,0.6312472837896559,0.4271081859317153,760.0,27958.263157894737,36544.37209601504,1267983.0,2085617.631578948,169532.0
272635.MYPU_2120,0.0795306388526727,0.0146832296729189,0.4851720247785937,0.0019270815588571,5.2338703488421136e+57,0.0019094835402891,394.7499999999984,0.5146675358539744,0.2349726775956284,495.0,24960.33333333333,35331.131409788126,789568.0,1772058.8055555555,59738.0
272635.MYPU_2160,0.0612777053455019,0.0040514514320911,0.4635554494171712,0.0014923614789216,3.9847156039501575e+56,0.0016547121365658,378.1666666666649,0.4930465015210742,0.2839962997224792,618.0,34635.805555555555,41588.578201701705,1009434.0,2569380.388888889,126344.0
272635.MYPU_2190,0.2372881355932203,0.0734672668209023,0.5393128914745491,0.0020902370314343,1.3103232269259092e+59,0.0020280303476926,460.83333333333246,0.6008257279443706,0.4683382915427114,685.0,33552.17647058824,40643.36985560088,923757.0,2441372.470588235,114878.0
272635.MYPU_2230,0.3116036505867014,0.09016611443816,0.5731488953773134,0.0042099841890578,1.9736624263909322e+59,0.0039025396797836,493.4999999999995,0.6434159061277698,0.4053654934777258,768.0,52946.582914572864,53642.32262130692,4749279.0,3626420.663316583,2931256.0
272635.MYPU_2350,0.2020860495436766,0.0607077575031343,0.533551001608368,0.0055170947489175,8.947090240320269e+58,0.0051774001455954,449.3333333333326,0.585832246849195,0.4642647674905739,645.0,54857.83783783784,53957.211965391245,4546393.0,3668744.324324324,3858570.0
272635.MYPU_2360,0.1864406779661017,0.0578408802779538,0.5238500743063976,0.0015086806370061,8.121958634298604e+58,0.0013803651062954,441.1666666666658,0.5751847023033451,0.4898059686792081,376.0,32807.36842105263,39966.537736190345,547140.0,2388899.4736842103,41622.0
272635.MYPU_2370,0.1108213820078226,0.0300366423573604,0.4829823380129907,0.0010278164655441,2.1902054332421697e+58,0.0010450831503096,401.9166666666653,0.5240112994350256,0.3971988795518207,325.0,53462.40972222222,52119.72764614822,4482641.0,3635694.340277778,1631378.0
272635.MYPU_2380,0.2033898305084745,0.0552406419345142,0.5297776564767671,0.0023801470551868,7.408015310402333e+58,0.00229129908563,447.9999999999992,0.5840938722294641,0.3674937965260546,668.0,49858.96153846154,50330.10586154136,2160162.0,3292434.211538461,225050.0
272635.MYPU_2400,0.2711864406779661,0.0748165766969819,0.5536626801612332,0.0033684999452504,1.3588733888275061e+59,0.0031935272296544,475.4999999999992,0.619947848761407,0.3796451133407655,751.0,55155.73275862069,53054.55908405659,4045988.0,3769833.043103448,1197337.0
272635.MYPU_2430,0.2790091264667536,0.0859734122151907,0.5607077891153807,0.0052720780207247,1.794389693520849e+59,0.004954401592581,480.3333333333328,0.6262494567579305,0.4566276161642754,752.0,48095.735483870965,50640.68025505885,4380772.0,3426874.793548387,1568122.0
272635.MYPU_2460,0.2294654498044328,0.06117922337838,0.5452005867963237,0.0053848983607432,9.086317482336938e+58,0.0052435253156374,461.3333333333328,0.6014776184267702,0.3653896103896104,717.0,48787.74820143885,49085.383041204965,4253465.0,3344126.8848920865,1287077.0
272635.MYPU_2520,0.302477183833116,0.0844339429396807,0.5675042471652642,0.0043058301166243,1.7306879659256348e+59,0.0041078450877821,488.9999999999993,0.637548891786179,0.3781161367368263,764.0,50455.20652173913,53277.0456034103,3453759.0,3671450.152173913,610147.0
272635.MYPU_2530,0.2138200782268579,0.0635526862389405,0.5331712500057997,0.0012191581362944,9.80511190560776e+58,0.0011578849491204,452.1666666666657,0.5895262929161221,0.4334879545114469,302.0,43278.55737704918,48595.1332170081,2143450.0,3343926.3278688523,264083.0
