index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
208964.PA0001,0.0704123896992616,0.0326830001599226,0.5055640735197877,0.0003298301509882,3.645704876592853e+125,0.0003133936028226,2926.416666666704,0.5269974188126608,0.2067676568955341,2409.0,106123.82352941176,88709.99722304755,29807448.0,23788545.9258312,5903262.0
208964.PA0002,0.0927426616243472,0.0410509465628463,0.5139073337725713,0.000505874692579,5.751462432271412e+125,0.0004931269810471,2997.5000000000296,0.5397983072213273,0.1796758717086623,5442.0,97402.69126213592,87491.3301567597,34943014.0,23188272.893203884,7692903.0
208964.PA0003,0.0646497388798847,0.0259952022453267,0.5037721077952333,0.0002858044422479,2.3061370313305847e+125,0.0002823855266896,2909.333333333368,0.5239210036616915,0.157902927125317,3581.0,96051.1253481894,84024.27968204889,27716697.0,22280634.39832869,3436848.0
208964.PA0004,0.0822978570142265,0.0366361611235396,0.5103115910579039,0.0003893493105345,4.58086562599691e+125,0.0003766025920621,2965.5000000000314,0.5340356564019508,0.1846328074014357,5122.0,100743.2975929978,87076.93526335014,33236018.0,23358288.12691466,6470216.0
208964.PA0008,0.0491626148028093,0.0211068649773669,0.4955748325499287,0.0001994462571014,1.5204871361060029e+125,0.0001961505784899,2850.6666666667065,0.5133561438261696,0.1768476621417798,2217.0,86364.4669117647,81589.74665629031,20585257.0,20535102.78308824,1490687.0
208964.PA0009,0.0558256798127138,0.0267869798043486,0.4984716278840785,0.0002027160362539,2.449071397758677e+125,0.0001976485218698,2873.6666666667074,0.5174980491025961,0.2271844660194174,2263.0,77914.52040816327,79885.1381271158,13511891.0,18467230.11734694,911542.0
208964.PA0016,0.04430037817396,0.0157182719104873,0.4957521243243853,0.0001760551763236,8.431378128113769e+124,0.0001765906473086,2842.083333333377,0.5118104327990964,0.1328023892483822,3044.0,56076.46575342466,64313.83915689465,7613288.0,11700876.636986302,303093.0
208964.PA0036,0.0592472537367188,0.0244381861339452,0.5016747671346685,0.0002391037467688,2.0382837172662264e+125,0.000235241794454,2891.9166666667056,0.5207845608980205,0.183556972347839,2016.0,93907.79853479854,85970.10178681865,21482213.0,22672696.47619048,2112751.0
208964.PA0054,0.0147667927246533,0.0030630824015574,0.4684757016625213,4.6959978821958486e-05,3.2012180692865554e+123,5.452405704381572e-05,2679.0833333334003,0.4824569301879085,0.089430894308943,1069.0,104217.0870967742,89891.44195062878,24222403.0,23829728.2516129,4085025.0
208964.PA0067,0.0439402124977489,0.0161007665706526,0.4952648768826798,0.0001531811969484,8.846939778002653e+124,0.0001523745273722,2839.7500000000405,0.5113902395101837,0.1313499291641368,526.0,76166.14503816795,80256.94311323043,9271330.0,18951859.572519083,371037.0
208964.PA0077,0.0343958220781559,0.0055312722206884,0.4887149093696837,0.0001487410950438,1.0435824127114474e+124,0.0001497637706474,2796.833333333381,0.5036616843748243,0.2024249104436483,3708.0,75550.65635738832,76867.39362564491,19114945.0,17623243.436426118,1473809.0
208964.PA0080,0.0365568161354223,0.0057174861559643,0.4899676922187707,0.0002175191092612,1.1150688877817385e+124,0.0002213208304446,2805.8333333333794,0.5052824299177734,0.1709993659464468,4529.0,79117.88888888889,88222.10092068666,693498.0,21642285.55555556,10933.0
