index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
62977.ACIAD0001,0.088172696868349,0.0398767680867126,0.4968077265871384,0.0003901413258364,4.55617694126383e+98,0.0003755194629398,1730.3333333333117,0.526097091314476,0.253501968738814,0.0,82042.92068965518,69949.81630271328,16267729.0,13164468.24137931,3805430.0
62977.ACIAD0002,0.102158710854363,0.0439670578303328,0.5011838725329685,0.0006381079456694,5.538691570009556e+98,0.0006061868729554,1755.2499999999793,0.5336728488902339,0.2289800995024875,3021.0,77163.80357142857,68800.14448919527,17372801.0,12766188.297619049,4332607.0
62977.ACIAD0003,0.0726664639708117,0.0288318917227605,0.4907188438736328,0.0004788860522824,2.381635469647733e+98,0.0004615488017961,1700.0833333333098,0.5168997668997598,0.2109278857986709,1759.0,72551.0669456067,66253.56849269994,13387969.0,12254752.138075314,2011822.0
62977.ACIAD0004,0.1149285497111584,0.0494188239743203,0.5071400843097481,0.0009309399558953,6.997457618607298e+98,0.0008823874797181,1781.999999999982,0.5418060200668842,0.2252677080263287,3186.0,78075.64285714286,68127.73535499867,18555138.0,12599365.67989418,5531911.0
62977.ACIAD0007,0.0690179385831559,0.0284219190758824,0.4891645307934901,0.0006690445731949,2.31452845408445e+98,0.0006229757764683,1692.4166666666422,0.5145687645687571,0.2138318194222447,1649.0,27204.776119402984,42626.10282242256,1747902.0,4474112.746268657,44618.0
62977.ACIAD0069,0.0346609911827303,0.0100978336367696,0.4642371656399712,0.0001508513832458,2.9211804590863763e+97,0.0001551955853273,1596.333333333292,0.4853552244856467,0.1880142834963515,1323.0,14418.0,27204.776119402984,13752.0,1747902.0,666.0
62977.ACIAD0076,0.0501672240802675,0.0141169259826138,0.4779898068033661,0.000363777486704,5.709303032615521e+97,0.0003686649772174,1646.1666666666356,0.500506739637165,0.1592017738359201,2697.0,75890.5462555066,65822.29826440237,13442984.0,11984604.171806168,1917859.0
62977.ACIAD0078,0.0498631802979629,0.0170745974933079,0.4751884013422475,0.0003027488778102,8.352767247997564e+97,0.0003021721129831,1639.749999999967,0.4985557920340429,0.1954960347149483,2284.0,40692.4,49231.76366822336,198707.0,6901654.2,3068.0
62977.ACIAD0099,0.0896929157798723,0.0309223906763622,0.4970361439326956,0.0008538530293792,2.739406843076381e+98,0.0008174513267718,1732.4999999999782,0.5267558528428027,0.1636803874092009,3135.0,33361.40972222222,42461.99784256004,4149067.0,4958618.493055556,347320.0
62977.ACIAD0144,0.0443903922164791,0.0132303341640962,0.4735924122606365,0.0006524864699681,5.01501944500223e+97,0.0006307916939899,1629.7499999999663,0.4955153542109961,0.1439773264052905,2431.0,64318.50819672131,63696.77565146718,9978888.0,10926911.415300546,923257.0
