index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
271848.BTH_I0001,0.0260463445302676,0.0057229625424435,0.4631402587241041,0.0002059717938804,1.186173392416787e+115,0.0002167033690705,2683.066666666752,0.4819591641219345,0.0771072796934865,4007.0,53299.08275862069,61857.56906740565,7169550.0,10581821.4,296528.0
271848.BTH_I0002,0.0219148553978803,0.0043226048611345,0.4577263326355534,0.0001913887135364,6.765076653921157e+114,0.0002059501359502,2652.483333333415,0.4764654811089441,0.1060831865600867,2929.0,54166.983606557376,60331.61963359644,6078360.0,10184702.926229509,279159.0
271848.BTH_I0003,0.0474223100413148,0.0137502992366963,0.4812250522313296,0.0005427221941339,6.848978334791625e+115,0.0005447087674506,2796.81666666675,0.5023920723310152,0.0831605023620232,5191.0,61305.344696969696,65907.26964471427,14423699.0,12422354.992424242,913053.0
271848.BTH_I0004,0.0560445482306448,0.0322395941280441,0.4804712404708071,0.0002335662816433,3.7661062774339e+116,0.0002241457589143,2809.816666666751,0.5047272618406272,0.2417759089784813,2540.0,99245.97435897436,82682.18966813125,22200815.0,19746055.131410256,4421910.0
271848.BTH_I0132,0.06269085683492,0.0329710868882937,0.4839669551411329,0.0002720787679858,3.938785782344334e+116,0.0002619568575641,2836.316666666749,0.509487455840985,0.2086750321114514,4348.0,62166.418803418805,65791.92469528207,6782008.0,11956731.923076924,259545.0
271848.BTH_I0134,0.0551463984192563,0.0190856796300208,0.4799700099321955,0.0003664278702937,1.319528535814561e+116,0.0003659910561943,2806.250000000084,0.5040865816418368,0.1268229332992697,5262.0,67037.15189873418,64460.13258492838,9360655.0,11408058.474683544,634733.0
271848.BTH_I0135,0.042392671097539,0.0122323930693002,0.4686440051141707,0.0002302318976311,5.4195512532455664e+115,0.000230274624824,2736.583333333424,0.4915723609364952,0.1832672196177425,4605.0,57744.58947368421,63151.56020394464,9333600.0,10450599.678947369,844803.0
271848.BTH_I0188,0.011675947548051,0.0017404278719862,0.4317403053057589,4.635093674340547e-05,1.0968345096688282e+114,5.054536111026564e-05,2514.533333333411,0.4516855278127388,0.0975961538461538,0.0,80815.76571428572,74465.84229494269,12343818.0,16327213.17142857,925669.0
271848.BTH_I0189,0.0150889168313274,0.0023660820574713,0.4380778405340034,6.974609553629728e-05,2.0274425109127587e+114,7.402678152491042e-05,2550.8166666667453,0.4582031016107217,0.0886402753872633,714.0,75295.16541353383,72721.360212432,8917239.0,15527956.691729324,568809.0
271848.BTH_I0213,0.0335908029459313,0.0066918466182597,0.4744839312693404,0.0010098317130335,1.6216101719016407e+115,0.0009999242953401,2744.400000000077,0.4929764684749607,0.0757288252544419,4777.0,52863.230769230766,60174.84209801426,567071.0,9285028.461538462,63001.0
