index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
71421.HI0001,0.1824773413897281,0.0585548765881905,0.5411348465809338,0.0020549370468031,1.9431826382639304e+73,0.0019839617540135,970.0000000000016,0.5861027190332335,0.2118545246529229,1630.0,61899.66225165563,57130.55743724787,11710856.0,7434333.062913908,3538635.0
71421.HI0002,0.0416918429003021,0.0099945366117249,0.4916624231442612,0.0001844662674325,5.660972807572771e+71,0.000189277900479,841.0833333333377,0.5082074521651587,0.1560102301790281,0.0,48635.21739130434,50785.69726893428,3068535.0,6215933.072463769,153711.0
71421.HI0004,0.1075528700906344,0.0344543254464866,0.5160995363921316,0.0007459001012737,6.727824414747496e+72,0.0007393916067971,903.7500000000026,0.5460725075528716,0.2168475845870627,983.0,52270.80392156863,53596.506305118855,2473643.0,6631464.725490196,102049.0
71421.HI0009,0.036858006042296,0.0050905820216447,0.4851608630380338,0.0003184404091992,1.4685187260204832e+71,0.0003341809934325,830.9166666666724,0.5020644511581103,0.1557377049180328,428.0,59838.6404494382,56753.31655924667,8280148.0,7471809.792134832,1211169.0
71421.HI0016,0.1577039274924471,0.0516009070880684,0.5355181371775638,0.0014274239842642,1.5090277569209174e+73,0.0013889932815209,950.8333333333346,0.5745216515609273,0.2149130562923666,1578.0,37322.78666666667,46313.470535066095,2364442.0,4394978.8,229227.0
71421.HI0018,0.1093655589123867,0.0352737204432429,0.5183681057828662,0.0009713628174754,7.051488840267182e+72,0.0009496632995232,907.0833333333356,0.5480866062437073,0.2148557397176181,995.0,35374.74647887324,43283.04949996583,2042477.0,3910571.338028169,251231.0
71421.HI0026,0.0833836858006042,0.0198706794139401,0.5092542926953821,0.0008312523730188,2.23761951409244e+72,0.0008323403508961,883.2500000000027,0.5336858006042312,0.1605839416058394,1306.0,33121.66,43690.90728627511,1412992.0,3781193.58,133394.0
71421.HI0034,0.1033232628398791,0.0283916425331154,0.5144912486501805,0.0011124044083866,4.568392585017002e+72,0.0011050327844415,899.7500000000027,0.5436555891238687,0.1779841761265909,1377.0,35287.229508196724,42828.73334756886,1906174.0,4014620.508196721,132981.0
71421.HI0037,0.1389728096676737,0.0469034704601149,0.5252950737888734,0.0010367879746722,1.2468407578671549e+73,0.0010071266304778,930.7500000000022,0.5623867069486418,0.2347446364154167,1501.0,56520.57803468208,56868.7649560934,7822834.0,7201755.121387283,1002815.0
71421.HI0038,0.1003021148036253,0.0273986313501483,0.5201645926018995,0.0010248083083456,4.254353166998506e+72,0.0010270239443847,903.8333333333346,0.5461228600201418,0.1775100401606425,1287.0,48812.19801980198,52364.36924786067,4352455.0,5923158.900990099,307368.0
71421.HI0039,0.0628398791540785,0.0144487904790024,0.5025882547696892,0.0005366630481504,1.183134795253695e+72,0.0005528354978819,864.7500000000031,0.5225075528700925,0.1529126213592233,1036.0,57672.525,55806.03407657489,5888259.0,6734999.808333334,532224.0
71421.HI0044,0.0525679758308157,0.0130854738226658,0.4941641475361955,0.0004505594318953,9.703990490456766e+71,0.0004765724974508,849.7500000000045,0.5134441087613321,0.1547714514835605,777.0,59556.01321585903,57155.75730218441,9766828.0,7347054.1938326,1912074.0
71421.HI0047,0.0453172205438066,0.0081253197841232,0.4850183363450143,0.0004356239800674,3.7414377042892743e+71,0.0004546445842422,835.5000000000063,0.5048338368580099,0.1628828828828828,1136.0,64887.484375,58692.826400770085,10849437.0,7854194.0625,2923632.0
71421.HI0056,0.0555891238670694,0.0137330454189858,0.493720818456468,0.0003369936393136,1.0687851147282533e+72,0.0003507948752938,851.2500000000045,0.5143504531722082,0.1679407548972766,731.0,60274.763485477175,56915.58084409244,10296634.0,7203936.692946058,2153316.0
71421.HI0057,0.1679758308157099,0.0529308054953476,0.5400727565974579,0.0025682099662841,1.5877950712361356e+73,0.002460821143334,960.6666666666678,0.5804632426988929,0.2038023011193933,1608.0,60293.67432950192,57294.21083447284,10775594.0,7671860.318007663,2517222.0
71421.HI0065,0.1359516616314199,0.0388157783662945,0.5279828643806936,0.0020587121584119,8.538627964142256e+72,0.0020057491593391,931.4166666666684,0.5627895266868087,0.1762698412698412,1550.0,36761.014925373136,43682.982090687954,2044210.0,4126801.776119403,223217.0
71421.HI0068,0.1643504531722054,0.0518407035455497,0.5362138411557094,0.0017805382524868,1.5230767879241802e+73,0.0017401233628346,955.083333333335,0.5770896273917432,0.1992891252441936,1615.0,60445.04419889503,56482.73442155189,8466835.0,7648847.541436464,1264149.0
71421.HI0072,0.1389728096676737,0.0419946674079092,0.5269717257958599,0.0011001721515157,9.994492103946394e+72,0.0010802475452603,932.1666666666688,0.563242698892247,0.197607746345168,1538.0,57440.75925925926,55826.2263973733,9209095.0,7342719.953703703,1630780.0
71421.HI0079,0.0809667673716012,0.0231384693305337,0.5064424591774321,0.0008404203695972,3.034237324645294e+72,0.00085017717446,879.0000000000032,0.5311178247734158,0.1787678150600381,1014.0,39362.37704918033,47946.76783415979,2084497.0,5047965.31147541,166481.0
71421.HI0084,0.1824773413897281,0.05990147096475,0.5418452303637772,0.0019039418322549,2.0336036675543882e+73,0.0018410383958232,970.4166666666682,0.586354481369588,0.2159908472860883,1628.0,42115.985074626864,48021.836212355,2545172.0,5280119.373134328,147502.0
71421.HI0087,0.1057401812688821,0.031523082865244,0.5144912486501805,0.0008143077690015,5.6315478364728496e+72,0.0008061913549778,901.1666666666696,0.544511581067474,0.229688013136289,1154.0,41256.3870967742,48097.18395029943,1062523.0,4917005.129032258,116105.0
71421.HI0104,0.1214501510574018,0.0369987449943632,0.5229656056124261,0.0009768085357883,7.758134787282934e+72,0.0009620438281288,918.5000000000018,0.5549848942598198,0.1938805970149253,1381.0,43893.57627118644,51323.57970830065,2199265.0,5518407.0,206319.0
71421.HI0106,0.1716012084592145,0.0623089238338195,0.5407803527410511,0.0023674985566762,2.200464690330039e+73,0.0022423184460715,963.3333333333344,0.5820745216515616,0.2771363161299955,1592.0,46758.38095238096,50449.97533512957,1681886.0,5745174.047619048,150451.0
71421.HI0107,0.0803625377643504,0.0247261884210302,0.5081570996978853,0.0006001601384323,3.464928571026771e+72,0.0006034881703388,880.4166666666695,0.5319738167170208,0.2079061289587605,831.0,40054.32142857143,47881.36842573992,1996809.0,4889382.767857143,131694.0
71421.HI0110,0.1963746223564954,0.0645077394206019,0.5452451839228629,0.0034457428177453,2.358402953455668e+73,0.0032175997951934,981.5000000000016,0.5930513595166172,0.2128774928774928,1645.0,47901.710144927536,51172.28064711411,5505622.0,6058415.978260869,574262.0
71421.HI0111,0.039274924471299,0.0110780219350334,0.4792459845917065,0.000332230022983,6.955598633142019e+71,0.0003907746477186,825.5000000000073,0.4987915407855028,0.1913461538461538,569.0,49231.24444444444,52488.96156674563,5541181.0,6360611.940740741,572692.0
71421.HI0119,0.0537764350453172,0.0088709366844269,0.4926894708798654,0.0005601261695998,4.45957230926603e+71,0.0005802615396807,849.083333333338,0.5130412890231649,0.1082737487231869,1089.0,40457.84146341463,47697.53707647376,2882596.0,4991172.024390244,229401.0
71421.HI0121,0.0942598187311178,0.0241863276262431,0.5111462591078727,0.0009003404084058,3.315150917015679e+72,0.0009009710997604,891.583333333336,0.5387210473313209,0.1684036393713813,1285.0,54671.12213740458,53813.64125301254,5806687.0,6953041.366412214,700900.0
71421.HI0123,0.1280966767371601,0.0398587587983523,0.5244607423501998,0.0009994159390182,9.003794577899755e+72,0.0009769573128321,923.6666666666686,0.5581067472306155,0.1994098184744701,1412.0,48987.44715447154,52107.37309715374,5062781.0,6312339.560975609,500078.0
71421.HI0124,0.09607250755287,0.0335145027042829,0.5113045577325577,0.0004302660984054,6.3659963441397814e+72,0.0004247085569222,892.7500000000027,0.5394259818731134,0.2493432051588249,354.0,54734.94146341463,55189.41641745555,8217401.0,7135597.385365854,1537151.0
71421.HI0132,0.0652567975830815,0.018548325264599,0.4963927892117946,0.0003848467384084,1.949774825636256e+72,0.0003880129679097,859.5833333333378,0.5193856998992977,0.2007615091727241,674.0,53245.73584905661,54532.38213796564,8239672.0,6896663.858490566,1561512.0
71421.HI0142,0.0785498489425981,0.0201785686575959,0.509411421449685,0.0009307514016823,2.307560549629638e+72,0.0008986226877325,880.8333333333356,0.532225579053375,0.1782945736434108,883.0,52576.873239436616,54444.32557323316,6103665.0,6842940.584507043,702082.0
71421.HI0157,0.0954682779456193,0.0322756270642144,0.512892953376337,0.0005325400111626,5.904025920348769e+72,0.0005228057481431,893.7500000000026,0.5400302114803641,0.2460694993146819,342.0,52510.15789473684,54400.28659259644,7192819.0,6632149.730994152,918069.0
71421.HI0159,0.0978851963746223,0.0328889171972374,0.5076883200856178,0.0007087940723112,6.131096209366528e+72,0.0007097006458122,889.9166666666704,0.5377139979859036,0.3148531554328656,1113.0,40242.2340425532,48127.10047370773,1663456.0,4790897.808510638,119631.0
71421.HI0161,0.0918429003021148,0.0195054833303113,0.5100409072963945,0.0013506638867016,2.156133802797278e+72,0.0013561463842374,889.0833333333361,0.537210473313194,0.1365458347856395,1441.0,41438.5652173913,47730.03753918452,1665996.0,5268378.304347826,128288.0
71421.HI0180,0.0580060422960725,0.0109594764490517,0.4934257073874564,0.0011722049660906,6.806838015194982e+71,0.0011379729313406,852.1666666666715,0.5149043303121882,0.1620614035087719,1240.0,64702.77391304348,59035.57367538554,9993155.0,7567742.595652174,2480590.0
71421.HI0188,0.1057401812688821,0.0298677446758356,0.5182054039291992,0.001082131817824,5.055629618750014e+72,0.001063110373727,905.000000000002,0.5468277945619348,0.1730706075533661,1304.0,53475.548192771086,54110.80368513776,7096039.0,6685140.198795181,913871.0
71421.HI0189,0.0706948640483383,0.0195247607376085,0.501062948988901,0.0004424624317916,2.1604461382311095e+72,0.0004466778419269,867.5000000000039,0.5241691842900326,0.1931918656056587,904.0,45355.307692307695,51563.990971931344,4073323.0,5850699.009615385,337952.0
71421.HI0207,0.1323262839879154,0.0414101765567684,0.5252950737888734,0.0012286164671826,9.718287251111878e+72,0.0011991205329308,926.750000000002,0.5599697885196387,0.222655104520129,1465.0,36999.75,44845.47314874399,2803318.0,4331193.595238095,163195.0
71421.HI0219a,0.0682779456193353,0.0138236806182197,0.5050481544565398,0.000961027027304,1.0829472196505341e+72,0.0009799428978232,870.4166666666695,0.5259315206445133,0.1191529709228824,1296.0,52857.85294117647,54081.77550892276,7259620.0,6770744.694117647,888853.0
71421.HI0221,0.1287009063444108,0.0440626934708377,0.5246273965422399,0.0008051996016124,1.1003628181662837e+73,0.0007801384333898,924.1666666666686,0.5584088620342408,0.2366020019487997,1044.0,49198.07058823529,51625.22377367663,3690397.0,6362008.423529412,256250.0
71421.HI0221.1,0.0858006042296072,0.0303035080702846,0.5072204045832348,0.0003005991811999,5.204518399295032e+72,0.0002937612196565,882.7500000000031,0.5333836858006061,0.2619118969133953,333.0,34387.47959183674,46170.23738292345,2831667.0,4219899.255102041,285518.0
