index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
93061.SAOUHSC_00001,0.0787263820853743,0.0412128222245249,0.4678949772066694,0.0009640535020853,1.4213625585692293e+79,0.0009455608505532,1434.749999999963,0.5020118964310577,0.2491269841269841,2211.0,68504.33777777778,59761.04930001787,10512102.0,8619931.835555555,2485092.0
93061.SAOUHSC_00002,0.0955213435969209,0.0465673880633451,0.4772303431089696,0.0011395925691429,1.81464562971968e+79,0.0010269661733514,1470.9166666666365,0.5146664334033018,0.2158478776125835,2688.0,64621.49816849817,57872.36810288282,11927663.0,8420038.912087912,2907681.0
93061.SAOUHSC_00003,0.0220433869839048,0.0096418737161783,0.4267985255861481,9.985653014135764e-05,7.779535605114309e+77,0.0001157764823068,1288.083333333279,0.4506939584791039,0.1991807475678443,0.0,59481.55555555556,56510.00238746448,3419991.0,7481584.0,172113.0
93061.SAOUHSC_00004,0.0622813156053184,0.0283753390356398,0.4587660738815392,0.0004094894187657,6.737561979089271e+78,0.0003865718485792,1400.416666666626,0.4899988336832142,0.2136735859836221,443.0,59957.3595505618,57352.25263148586,8334628.0,8175298.02247191,1198217.0
93061.SAOUHSC_00005,0.0944716585024492,0.0475399560597321,0.4769022369947661,0.000921102973833,1.891242741917512e+79,0.0008346063745865,1468.7499999999686,0.5139083275017385,0.2212859699848547,2497.0,66122.15555555555,58184.02744107394,12228376.0,8647634.859259259,2852130.0
93061.SAOUHSC_00006,0.1144156752974107,0.0599926162093342,0.4831302829245254,0.0015010523790627,3.0118365982506265e+79,0.0013849268422384,1500.416666666637,0.5249883368322733,0.2336729142042363,2809.0,68754.66055045872,59440.07108907996,13357410.0,8781027.990825688,4615091.0
93061.SAOUHSC_00009,0.1263121063680895,0.0588004800177403,0.4855822917108067,0.0021397707423811,2.8933079637591666e+79,0.0020283990165399,1516.4166666666365,0.5305866573361219,0.1825484764542936,2845.0,51551.12621359223,52945.6863774144,8662442.0,7213349.703883495,1003399.0
93061.SAOUHSC_00017,0.1074177746675997,0.0564386113488816,0.4807029131731721,0.0016525997784287,2.6656157828827712e+79,0.0015324512910517,1488.333333333302,0.5207604385350951,0.2474292648655553,2797.0,44065.92857142857,49605.5169237978,3322419.0,5969824.476190476,204031.0
93061.SAOUHSC_00018,0.0846745976207137,0.0411607405111257,0.4745368932504787,0.001151089586164,1.417725177494818e+79,0.0010710697596551,1454.7499999999688,0.5090097970608708,0.2146702787970234,1924.0,61616.93351800554,57503.86493144715,13807290.0,7996249.87534626,4271418.0
93061.SAOUHSC_00027,0.050034989503149,0.0218003172653105,0.452924782049551,0.0010523000948536,3.976891666861704e+78,0.0010497796079919,1375.749999999956,0.4813680895731127,0.1798483206933911,1459.0,37331.77011494253,45250.85458794952,2958095.0,4797886.528735632,155722.0
93061.SAOUHSC_00083,0.0237928621413575,0.0092841047724904,0.4191897892182428,0.0001514738101611,7.213040008790496e+77,0.0001583315442891,1272.0833333332891,0.4450956379752586,0.2392449517120281,758.0,36490.40384615384,42872.19265357362,1762956.0,4712608.538461538,73393.0
93061.SAOUHSC_00342,0.0489853044086773,0.0213982543435919,0.4535170341346108,0.0008474879208801,3.831611009239793e+78,0.0008556225917277,1376.2499999999573,0.4815430370888583,0.1960945529290853,559.0,48622.45,51416.93878056826,3537542.0,6447441.8375,187004.0
93061.SAOUHSC_00345,0.0321903428971308,0.0110782226246744,0.4379821965012706,0.0002497783478065,1.0269627375727497e+78,0.0002534243714358,1324.8333333332791,0.4635526008863818,0.1638795986622073,1500.0,43545.850746268654,47559.45678885908,2658388.0,5602038.059701492,138252.0
93061.SAOUHSC_00346,0.1053184044786564,0.0554235524348857,0.4780525869806253,0.0010876653424139,2.570561961591389e+79,0.0010348956136008,1481.416666666634,0.5183403312339517,0.2364119601328903,2741.0,48519.31496062992,51802.03303998439,5271269.0,6474790.637795276,463687.0
93061.SAOUHSC_00352,0.0258922323303009,0.0093478111676266,0.432655109127639,0.000658787955216,7.311759705280112e+77,0.0006525036183656,1306.5833333332755,0.4571670165616779,0.2114031840059237,1209.0,69855.04234527687,61307.03146835342,11712581.0,8562925.925081434,4924543.0
93061.SAOUHSC_00397,0.0146955913226032,0.0045401724044157,0.4135048010187108,0.0004002461396775,1.7248435655917691e+77,0.0004209216510936,1246.9999999999668,0.4363191042687078,0.1393728222996515,863.0,63628.10330578512,57704.70394519766,11127951.0,8491235.425619835,2169203.0
93061.SAOUHSC_00398,0.017144856543037,0.0036479929729418,0.4193798692314917,0.0004138935874302,1.1132546128764761e+77,0.0004460408612978,1265.5833333332905,0.4428213202705705,0.1717687074829932,1025.0,64473.24542124542,57798.2009930512,12027199.0,8304049.168498169,2830610.0
93061.SAOUHSC_00427,0.0318404478656403,0.0086412866080159,0.4409053257326472,0.0005264467556452,6.247715165629451e+77,0.0005547202470272,1331.8666666666163,0.4660135292745333,0.1262515262515262,1866.0,54530.18803418803,51940.01365220226,5347134.0,7071078.786324786,534893.0
93061.SAOUHSC_00438,0.020293911826452,0.0041140759082993,0.4176753296455742,0.0002036862086292,1.416213519006046e+77,0.0002450939908242,1264.5833333332923,0.4424714252390806,0.1076830006049606,1754.0,52933.10659898477,51848.91203557825,8396521.0,6776652.040609137,1044312.0
93061.SAOUHSC_00442,0.0864240727781665,0.0431843676348174,0.4700351033094272,0.0016997937625429,1.560572702279056e+79,0.0015620470301037,1446.6999999999634,0.50619314205737,0.2172410388071492,2530.0,42449.04390243902,43585.97051736582,5768509.0,4771840.112195122,1501046.0
93061.SAOUHSC_00445,0.0741777466759971,0.0375149145131896,0.4594497789096786,0.0008203917277276,1.1777092311902849e+79,0.0007519318404996,1413.0833333332905,0.494430837415427,0.2314674058839309,1765.0,43632.58288770053,43714.65505080126,5790885.0,4824490.037433155,1215188.0
93061.SAOUHSC_00456,0.0370888733379985,0.0107066709696114,0.4458648907015184,0.0003960681124065,9.591298325067229e+77,0.000409625986923,1346.4999999999502,0.4711336599020119,0.177717879604672,1184.0,51316.64705882353,52589.16491065833,6071858.0,7145361.544117647,473411.0
93061.SAOUHSC_00459,0.0811756473058082,0.0366330813512472,0.4614364235548893,0.0008984089363092,1.122991996444796e+79,0.000861525451779,1423.9999999999577,0.4982505248425323,0.1791685326168084,2642.0,45819.6914893617,47231.76265662535,3871822.0,5779375.308510638,229686.0
93061.SAOUHSC_00464,0.1245626312106368,0.0594397548892011,0.4850729396565646,0.0027882949720988,2.9566026579331706e+79,0.0026979806211,1512.8333333333012,0.5293328668066134,0.1952365880677322,2842.0,41581.0,58090.06293706294,40911.0,7047852.0,670.0
93061.SAOUHSC_00477,0.0881735479356193,0.0430845338184655,0.4673433071981723,0.0007922613266645,1.5533570704121506e+79,0.0007642819095594,1443.666666666629,0.5051317937951816,0.217321191424777,2559.0,58090.06293706294,55504.1630285977,7047852.0,7881677.111888112,650304.0
93061.SAOUHSC_00481,0.0321903428971308,0.0133000324815839,0.4342803591854045,0.0001542226232153,1.4802045879255877e+78,0.0001667498669287,1316.3666666666093,0.4605901562864273,0.2245580506450071,962.0,20432.0,29738.78515625,38718.0,1625294.0,1619.0
93061.SAOUHSC_00486,0.1112666200139957,0.0510922125130385,0.4801206462771326,0.0018239384268874,2.184356621247008e+79,0.0017242821989647,1491.8333333333023,0.5219850711453122,0.1888974862607384,2821.0,20379.5,29765.03515625,38718.0,1625294.0,1619.0
93061.SAOUHSC_00491,0.060181945416375,0.0244880692107136,0.4571786480203574,0.0006229437342846,5.017930035094017e+78,0.0006503748895994,1394.749999999958,0.4880160951714338,0.1761185910512716,2029.0,39098.0703125,39840.3560063362,3211870.0,3963817.109375,916175.0
93061.SAOUHSC_00499,0.0311406578026592,0.0129867324427537,0.4371541223941309,0.0001419310795649,1.4112952682310138e+78,0.0001392162295627,1322.8666666666131,0.4628644739911172,0.17926455566905,803.0,55669.375,53258.77780118788,6568720.0,7148524.404411765,517106.0
93061.SAOUHSC_00508,0.0388383484954513,0.020046991454132,0.4411156144412638,0.0003965944344021,3.3633213350308682e+78,0.0004364880024405,1337.749999999946,0.4680720783764682,0.3334971334971335,944.0,19451.666666666668,41695.23312790484,94711.0,3045357.833333333,12584.0
93061.SAOUHSC_00509,0.1284114765570329,0.0680494681973508,0.4874591030983045,0.0017204936897489,3.875207663118676e+79,0.0015876687635186,1522.0833333333042,0.5325693958479021,0.2397969059424368,2846.0,34393.60975609756,45113.1300451483,1348564.0,4877561.951219512,36204.0
93061.SAOUHSC_00517,0.0892232330300909,0.0534973669345786,0.4671072752248399,0.0005328072227445,2.395098915976676e+79,0.0005076649856203,1444.3333333332955,0.5053650571495085,0.3409603211363285,1722.0,29387.235294117647,41475.54378522589,461133.0,4247596.294117647,22446.0
93061.SAOUHSC_00518,0.0878236529041287,0.0522560814369328,0.4589178324240074,0.0004788137558852,2.2852858997880992e+79,0.0004668301513734,1425.2499999999543,0.4986878936318944,0.3601274900398406,1984.0,40160.375,47632.789978646535,3462897.0,5503695.541666667,210096.0
93061.SAOUHSC_00519,0.1025192442267319,0.0575215826544074,0.4746992668666466,0.0010117146196601,2.7689755185127152e+79,0.0010015797783623,1471.499999999964,0.5148705388383359,0.3023049230913086,2659.0,45431.66336633663,48904.38944649726,4098758.0,6298420.148514852,257574.0
93061.SAOUHSC_00521,0.0671798460461861,0.0425391636450377,0.4565016806244734,0.000248007152674,1.5144209069087318e+79,0.0002452793550009,1400.9999999999577,0.4902029391182497,0.4259380453752182,0.0,45129.14035087719,47552.56525663428,2332075.0,5644520.105263158,127411.0
