index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
388919.SSA_0001,0.107952021323856,0.0460505778384966,0.5045391022831963,0.0009291115375064,2.8477512003510695e+79,0.0008797836421819,1211.7499999999905,0.5383163038649431,0.2570486004829439,1045.0,68012.37860082304,59037.35853438142,10910788.0,8443943.353909465,2843615.0
388919.SSA_0002,0.1150599733451799,0.0459518067122249,0.5057984465366828,0.0013289169797245,2.8354684246453122e+79,0.0012608733646733,1218.74999999999,0.541426032874272,0.2301637185358115,2083.0,62986.42471042471,57092.05580616974,11072332.0,8177221.861003861,2666476.0
388919.SSA_0005,0.1266103953798311,0.0535715182059892,0.510548271618681,0.0012958678905517,3.853950928115179e+79,0.0012396626710679,1234.249999999991,0.54831186139493,0.2479614529280948,2135.0,45714.96428571428,49768.16524664718,1155567.0,6263813.928571428,66630.0
388919.SSA_0006,0.1030653043091959,0.0414048308157797,0.5048819374602856,0.0014782430728047,2.302133303654453e+79,0.0014628983719402,1208.5833333333248,0.5369095216940566,0.2280564263322884,1972.0,67081.39298245613,59711.550816172574,11526761.0,8330886.298245614,3839661.0
388919.SSA_0008,0.0937361172812083,0.0385969520319267,0.5005734906551002,0.0007061488431276,2.0004290359728042e+79,0.0006783050379469,1195.0833333333242,0.5309121871760639,0.2519972918077183,1076.0,63059.75,57149.079007896304,10428416.0,8066181.25,2134535.0
388919.SSA_0009,0.0333185250999555,0.0108978904966748,0.4613107934369125,0.000163177603519,1.594767520975016e+78,0.0001795652753477,1086.7500000000025,0.4827854286983539,0.209009009009009,480.0,64049.03791469194,58325.567729628536,9732267.0,8485379.914691944,1921366.0
388919.SSA_0010,0.0426477121279431,0.015897552723244,0.4653556897467977,0.0001849711070408,3.3938619007904925e+78,0.0001921702919434,1100.999999999997,0.489115948467343,0.2385964912280701,447.0,50845.25333333333,53716.957173167386,3410371.0,7112843.786666667,212293.0
388919.SSA_0012,0.0426477121279431,0.0089366482195767,0.4727579541648274,0.0004909184753393,1.0723483340468194e+78,0.0005186878064076,1113.2499999999964,0.4945579742336659,0.1447368421052631,1300.0,62849.66666666666,56208.65358072203,5078437.0,7408604.510416667,493883.0
388919.SSA_0013,0.1008440693025322,0.0383628859869929,0.5033996734162515,0.0010060704046865,1.976234681799588e+79,0.0009827236787594,1204.7499999999914,0.5352065748556142,0.2021753537873767,2006.0,38713.1875,44813.51365079072,3272309.0,4990652.552083333,235732.0
388919.SSA_0014,0.0817414482452243,0.0293863287462062,0.4931534853732657,0.0007137417322983,1.159584084417584e+79,0.0006975668950053,1174.99999999999,0.5219902265659634,0.1951770016631028,1675.0,60444.22907488987,56245.4563391414,10244895.0,7908373.599118942,1769651.0
388919.SSA_0015,0.1412705464238116,0.0564721019591668,0.5211722595013237,0.0022053005212033,4.282442936331103e+79,0.0020750710842865,1259.9999999999925,0.55975122167925,0.222546277007321,2206.0,57143.934782608696,55859.70974949642,8235572.0,7690358.842391305,1169397.0
388919.SSA_0032,0.0901821412705464,0.0357633696836855,0.495235226369065,0.000730939790507,1.717446667039781e+79,0.0006843992292227,1185.1666666666576,0.5265067377461802,0.2449885382626932,1298.0,62956.22641509434,57842.28442385708,12465447.0,8156240.389937106,3827560.0
388919.SSA_0033,0.0795202132385606,0.030464191061457,0.490764807108578,0.0005953052944858,1.2461862152692533e+79,0.0005634388540985,1169.9166666666565,0.5197319709758549,0.2316238779737618,1147.0,78222.0,55496.17667844523,77960.0,11292208.0,262.0
388919.SSA_0063,0.1172812083518436,0.0466446648699219,0.5107822534113569,0.0014089865811017,2.921606360738665e+79,0.0012952615390207,1227.666666666659,0.5453872353028236,0.2273303375964973,2091.0,56944.02097902098,57124.53955321047,6601993.0,7820333.44055944,790258.0
388919.SSA_0065,0.0590848511772545,0.0154628260575104,0.4780299708100281,0.0012166269241844,3.210554402298727e+78,0.0012099033323097,1134.2499999999925,0.5038871612616512,0.1223513328776486,1911.0,54613.62385321101,52089.91420481427,5077337.0,6441999.577981652,453215.0
