index,ess
71421.HI0001,1
71421.HI0002,0
71421.HI0004,1
71421.HI0009,1
71421.HI0016,0
71421.HI0018,1
71421.HI0026,0
71421.HI0034,0
71421.HI0037,0
71421.HI0038,1
71421.HI0039,1
71421.HI0044,0
71421.HI0047,0
71421.HI0056,1
71421.HI0057,0
71421.HI0065,0
71421.HI0068,1
71421.HI0072,0
71421.HI0079,0
71421.HI0084,0
71421.HI0087,1
71421.HI0104,0
71421.HI0106,0
71421.HI0107,0
71421.HI0110,0
71421.HI0111,0
71421.HI0119,1
71421.HI0121,1
71421.HI0123,1
71421.HI0124,1
71421.HI0132,1
71421.HI0142,0
71421.HI0157,1
71421.HI0159,0
71421.HI0161,0
71421.HI0180,1
71421.HI0188,1
71421.HI0189,0
71421.HI0207,1
71421.HI0219a,0
71421.HI0221,0
71421.HI0221.1,0
71421.HI0222,1
71421.HI0226,0
71421.HI0229,0
71421.HI0249,0
71421.HI0255,1
71421.HI0260.1,0
71421.HI0266,1
71421.HI0268,0
71421.HI0280,0
71421.HI0290,0
71421.HI0301,0
71421.HI0303,1
71421.HI0312,0
71421.HI0315,0
71421.HI0328,0
71421.HI0349,0
71421.HI0351,0
71421.HI0361,0
71421.HI0373,1
71421.HI0378,0
71421.HI0382,1
71421.HI0390.1,0
71421.HI0394,1
71421.HI0402,0
71421.HI0407,0
71421.HI0417,1
71421.HI0425,0
71421.HI0429,0
71421.HI0434,0
71421.HI0442,0
71421.HI0445,0
71421.HI0447,0
71421.HI0452,0
71421.HI0454,0
71421.HI0456,1
71421.HI0462,0
71421.HI0465,1
71421.HI0469,0
71421.HI0470,1
71421.HI0473,1
71421.HI0474,0
71421.HI0479,0
71421.HI0480,0
71421.HI0495m,0
71421.HI0506,0
71421.HI0514,0
71421.HI0515,1
71421.HI0516,0
71421.HI0524,0
71421.HI0525,1
71421.HI0532,1
71421.HI0533,1
71421.HI0534,1
71421.HI0539,0
71421.HI0541,0
71421.HI0543,0
71421.HI0553,0
71421.HI0558,0
71421.HI0566,1
71421.HI0567,1
71421.HI0579,1
71421.HI0585,0
71421.HI0595,0
71421.HI0600,0
71421.HI0605,1
71421.HI0609,0
71421.HI0611,0
71421.HI0613,1
71421.HI0616,0
71421.HI0623,0
71421.HI0626,0
71421.HI0632,0
71421.HI0640,0
71421.HI0644,0
71421.HI0646,1
71421.HI0655,1
71421.HI0656,1
71421.HI0667,1
71421.HI0672,1
71421.HI0678,1
71421.HI0682,0
71421.HI0690,0
71421.HI0691,0
71421.HI0702,0
71421.HI0707,1
71421.HI0713,0
71421.HI0714,1
71421.HI0721,0
71421.HI0723,1
71421.HI0728,1
71421.HI0729,1
71421.HI0738,0
71421.HI0738.1,0
71421.HI0739,1
71421.HI0750,1
71421.HI0757,1
71421.HI0766,0
71421.HI0768,1
71421.HI0771,0
71421.HI0777,0
71421.HI0780,1
71421.HI0781,1
71421.HI0783,1
71421.HI0784,1
71421.HI0788,1
71421.HI0790,0
71421.HI0792,1
71421.HI0793,1
71421.HI0795,1
71421.HI0798,0
71421.HI0799,0
71421.HI0800,1
71421.HI0801,1
71421.HI0802,1
71421.HI0803,1
71421.HI0809,0
71421.HI0814,1
71421.HI0815,0
71421.HI0834,0
71421.HI0837,0
71421.HI0838,0
71421.HI0846,0
71421.HI0856,0
71421.HI0857,0
71421.HI0858,1
71421.HI0859,1
71421.HI0860,0
71421.HI0861,0
71421.HI0864,0
71421.HI0865,1
71421.HI0877,0
71421.HI0883,0
71421.HI0889,0
71421.HI0890m,0
71421.HI0899,1
71421.HI0905,0
71421.HI0911,1
71421.HI0913,1
71421.HI0914,0
71421.HI0919,0
71421.HI0921,1
71421.HI0928,0
71421.HI0932,0
71421.HI0935,0
71421.HI0937,0
71421.HI0946,0
71421.HI0957,0
71421.HI0961,0
71421.HI0963,0
71421.HI0972,1
71421.HI0981,1
71421.HI0982,1
71421.HI0988,1
71421.HI0990,0
71421.HI1012,0
71421.HI1023,1
71421.HI1043,1
71421.HI1059,1
71421.HI1065,1
71421.HI1077,1
71421.HI1081,0
71421.HI1088,0
71421.HI1095,0
71421.HI1103,0
71421.HI1107,1
71421.HI1115,0
71421.HI1116,0
71421.HI1125,0
71421.HI1134,0
71421.HI1139,1
71421.HI1140,1
71421.HI1143,1
71421.HI1145,1
71421.HI1146,1
71421.HI1153,0
71421.HI1158,0
71421.HI1167,0
71421.HI1171,1
71421.HI1172,0
71421.HI1174,0
71421.HI1197,0
71421.HI1199,0
71421.HI1203,0
71421.HI1204,0
71421.HI1210,1
71421.HI1215,0
