index,ess
272635.MYPU_0010,1
272635.MYPU_0020,1
272635.MYPU_0030,0
272635.MYPU_0040,0
272635.MYPU_0070,1
272635.MYPU_0090,1
272635.MYPU_0100,1
272635.MYPU_0130,1
272635.MYPU_0150,0
272635.MYPU_0270,1
272635.MYPU_0340,1
272635.MYPU_0460,1
272635.MYPU_0490,1
272635.MYPU_0510,0
272635.MYPU_0520,1
272635.MYPU_0550,0
272635.MYPU_0580,0
272635.MYPU_0810,0
272635.MYPU_0820,0
272635.MYPU_0860,0
272635.MYPU_0960,0
272635.MYPU_1010,0
272635.MYPU_1040,1
272635.MYPU_1050,1
272635.MYPU_1280,0
272635.MYPU_1420,1
272635.MYPU_1430,1
272635.MYPU_1470,1
272635.MYPU_1520,1
272635.MYPU_1530,1
272635.MYPU_1540,1
272635.MYPU_1560,0
272635.MYPU_1630,0
272635.MYPU_1650,1
272635.MYPU_1680,1
272635.MYPU_1710,0
272635.MYPU_1820,1
272635.MYPU_1840,1
272635.MYPU_2010,1
272635.MYPU_2050,1
272635.MYPU_2090,0
272635.MYPU_2120,0
272635.MYPU_2160,0
272635.MYPU_2190,1
272635.MYPU_2230,1
272635.MYPU_2350,1
272635.MYPU_2360,0
272635.MYPU_2370,1
272635.MYPU_2380,1
272635.MYPU_2400,1
272635.MYPU_2430,1
272635.MYPU_2460,1
272635.MYPU_2520,0
272635.MYPU_2530,1
272635.MYPU_2570,1
272635.MYPU_2590,1
272635.MYPU_2610,1
272635.MYPU_2660,1
272635.MYPU_2670,1
272635.MYPU_2680,1
272635.MYPU_2830,1
272635.MYPU_2890,1
272635.MYPU_2980,1
272635.MYPU_3100,1
272635.MYPU_3140,1
272635.MYPU_3160,0
272635.MYPU_3190,0
272635.MYPU_3290,1
272635.MYPU_3320,1
272635.MYPU_3380,0
272635.MYPU_3420,1
272635.MYPU_3470,1
272635.MYPU_3480,1
272635.MYPU_3520,1
272635.MYPU_3530,1
272635.MYPU_3720,1
272635.MYPU_3730,1
272635.MYPU_3860,1
272635.MYPU_3890,1
272635.MYPU_3960,0
272635.MYPU_3970,0
272635.MYPU_3980,0
272635.MYPU_4050,1
272635.MYPU_4220,1
272635.MYPU_4280,1
272635.MYPU_4290,1
272635.MYPU_4300,1
272635.MYPU_4330,0
272635.MYPU_4490,1
272635.MYPU_4500,0
272635.MYPU_4530,1
272635.MYPU_4540,1
272635.MYPU_4670,1
272635.MYPU_4710,1
272635.MYPU_4800,0
272635.MYPU_4910,1
272635.MYPU_4930,1
272635.MYPU_4950,1
272635.MYPU_4960,1
272635.MYPU_4980,0
272635.MYPU_5150,1
272635.MYPU_5180,1
272635.MYPU_5190,1
272635.MYPU_5250,0
272635.MYPU_5300,0
272635.MYPU_5310,0
272635.MYPU_5320,1
272635.MYPU_5330,1
272635.MYPU_5380,0
272635.MYPU_5390,0
272635.MYPU_5410,0
272635.MYPU_5450,1
272635.MYPU_5460,1
272635.MYPU_5610,1
272635.MYPU_5620,1
272635.MYPU_5630,1
272635.MYPU_5660,1
272635.MYPU_5680,1
272635.MYPU_5710,1
272635.MYPU_5720,1
272635.MYPU_5750,1
272635.MYPU_5770,1
272635.MYPU_5800,1
272635.MYPU_5810,1
272635.MYPU_5840,1
272635.MYPU_5850,1
272635.MYPU_5860,1
272635.MYPU_5870,1
272635.MYPU_5890,1
272635.MYPU_5900,1
272635.MYPU_6010,1
272635.MYPU_6040,0
272635.MYPU_6060,0
272635.MYPU_6210,1
272635.MYPU_6230,1
272635.MYPU_6560,1
272635.MYPU_6570,0
272635.MYPU_6580,0
272635.MYPU_6590,1
272635.MYPU_6660,1
272635.MYPU_6740,1
272635.MYPU_6780,0
272635.MYPU_6820,1
272635.MYPU_6930,0
272635.MYPU_6960,0
272635.MYPU_6980,0
272635.MYPU_6990,1
272635.MYPU_7000,0
272635.MYPU_7040,1
272635.MYPU_7070,1
272635.MYPU_7100,0
272635.MYPU_7140,1
272635.MYPU_7190,1
272635.MYPU_7200,1
272635.MYPU_7220,1
272635.MYPU_7330,1
272635.MYPU_7390,1
272635.MYPU_7590,0
272635.MYPU_7610,1
272635.MYPU_7620,1
