index,ess
565050.CCNA_00001,0
565050.CCNA_00002,0
565050.CCNA_00003,1
565050.CCNA_00004,1
565050.CCNA_00005,1
565050.CCNA_00006,0
565050.CCNA_00007,0
565050.CCNA_00008,1
565050.CCNA_00012,0
565050.CCNA_00018,0
565050.CCNA_00028,0
565050.CCNA_00029,0
565050.CCNA_00051,0
565050.CCNA_00052,0
565050.CCNA_00053,0
565050.CCNA_00055,0
565050.CCNA_00066,0
565050.CCNA_00135,0
565050.CCNA_00138,0
565050.CCNA_00152,0
565050.CCNA_00153,1
565050.CCNA_00155,1
565050.CCNA_00178,0
565050.CCNA_00185,0
565050.CCNA_00198,0
565050.CCNA_00228,0
565050.CCNA_00252,0
565050.CCNA_00305,0
565050.CCNA_00372,1
565050.CCNA_00485,0
565050.CCNA_00492,1
565050.CCNA_00520,1
565050.CCNA_00534,0
565050.CCNA_00595,0
565050.CCNA_00652,0
565050.CCNA_00667,0
565050.CCNA_00670,0
565050.CCNA_00671,0
565050.CCNA_00696,0
565050.CCNA_00701,0
565050.CCNA_00748,0
565050.CCNA_01032,0
565050.CCNA_01113,0
565050.CCNA_01116,0
565050.CCNA_01118,1
565050.CCNA_01187,0
565050.CCNA_01194,0
565050.CCNA_01236,0
565050.CCNA_01263,0
565050.CCNA_01273,0
565050.CCNA_01298,0
565050.CCNA_01397,1
565050.CCNA_01403,1
565050.CCNA_01404,1
565050.CCNA_01420,0
565050.CCNA_01423,0
565050.CCNA_01424,0
565050.CCNA_01427,1
565050.CCNA_01429,0
565050.CCNA_01438,1
565050.CCNA_01448,0
565050.CCNA_01451,0
565050.CCNA_01496,1
565050.CCNA_01517,0
565050.CCNA_01538,1
565050.CCNA_01555,0
565050.CCNA_01560,0
565050.CCNA_01584,0
565050.CCNA_01591,0
565050.CCNA_01594,0
565050.CCNA_01624,0
565050.CCNA_01625,0
565050.CCNA_01629,0
565050.CCNA_01633,1
565050.CCNA_01635,0
565050.CCNA_01686,0
565050.CCNA_01689,0
565050.CCNA_01713,0
565050.CCNA_01738,0
565050.CCNA_01745,0
565050.CCNA_01814,0
565050.CCNA_01947,0
565050.CCNA_01957,1
565050.CCNA_01993,0
565050.CCNA_02023,1
565050.CCNA_02033,1
565050.CCNA_02036,0
565050.CCNA_02042,0
565050.CCNA_02080,1
565050.CCNA_02087,0
565050.CCNA_02109,0
565050.CCNA_02121,0
565050.CCNA_02122,0
565050.CCNA_02183,0
565050.CCNA_02233,0
565050.CCNA_02265,0
565050.CCNA_02274,0
565050.CCNA_02277,0
565050.CCNA_02346,1
565050.CCNA_02421,0
565050.CCNA_02427,0
565050.CCNA_02452,0
565050.CCNA_02613,0
565050.CCNA_02638,0
565050.CCNA_02705,1
565050.CCNA_02709,0
565050.CCNA_02727,0
565050.CCNA_02736,0
565050.CCNA_02790,0
565050.CCNA_02845,0
565050.CCNA_02962,0
565050.CCNA_02997,0
565050.CCNA_03023,0
565050.CCNA_03032,0
565050.CCNA_03107,0
565050.CCNA_03127,0
565050.CCNA_03128,0
565050.CCNA_03142,0
565050.CCNA_03144,1
565050.CCNA_03187,0
565050.CCNA_03191,0
565050.CCNA_03195,1
565050.CCNA_03226,0
565050.CCNA_03263,0
565050.CCNA_03303,0
565050.CCNA_03314,0
565050.CCNA_03371,0
565050.CCNA_03372,0
565050.CCNA_03373,1
565050.CCNA_03378,0
565050.CCNA_03384,1
565050.CCNA_03406,0
565050.CCNA_03430,1
565050.CCNA_03513,0
565050.CCNA_03528,0
565050.CCNA_03548,0
565050.CCNA_03563,0
565050.CCNA_03569,0
565050.CCNA_03577,0
565050.CCNA_03626,0
565050.CCNA_03642,0
565050.CCNA_03644,1
565050.CCNA_03653,0
565050.CCNA_03701,0
565050.CCNA_03710,0
565050.CCNA_03711,0
565050.CCNA_03713,0
565050.CCNA_03716,0
565050.CCNA_03722,0
565050.CCNA_03725,0
565050.CCNA_03727,0
565050.CCNA_03759,0
565050.CCNA_03767,0
565050.CCNA_03776,0
565050.CCNA_03781,1
565050.CCNA_03786,0
565050.CCNA_03822,0
565050.CCNA_03865,1
565050.CCNA_03870,0
565050.CCNA_03871,0
565050.CCNA_03872,0
565050.CCNA_03875,0
565050.CCNA_03876,0
565050.CCNA_03877,1
565050.CCNA_03878,1
565050.CCNA_03879,0
565050.CCNA_00050,1
565050.CCNA_00083,0
565050.CCNA_00094,0
565050.CCNA_00100,0
565050.CCNA_00101,0
565050.CCNA_00143,0
565050.CCNA_00197,1
565050.CCNA_00251,0
565050.CCNA_00299,0
565050.CCNA_00328,0
565050.CCNA_00377,0
565050.CCNA_00383,0
565050.CCNA_00540,0
565050.CCNA_00685,0
565050.CCNA_00731,0
565050.CCNA_00908,0
565050.CCNA_01001,1
565050.CCNA_01050,0
565050.CCNA_01090,0
565050.CCNA_01095,1
565050.CCNA_01102,0
565050.CCNA_01109,0
565050.CCNA_01110,0
565050.CCNA_01114,1
565050.CCNA_01139,0
565050.CCNA_01220,0
565050.CCNA_01221,0
565050.CCNA_01243,0
565050.CCNA_01356,0
565050.CCNA_01381,1
565050.CCNA_01387,0
565050.CCNA_01417,1
565050.CCNA_01431,0
565050.CCNA_01432,1
565050.CCNA_01474,0
565050.CCNA_01509,0
565050.CCNA_01563,0
565050.CCNA_01612,1
565050.CCNA_01613,1
565050.CCNA_01615,1
565050.CCNA_01627,1
565050.CCNA_01647,0
565050.CCNA_01659,0
565050.CCNA_01684,0
565050.CCNA_01691,0
565050.CCNA_01721,0
565050.CCNA_01725,1
565050.CCNA_01746,1
565050.CCNA_01747,1
565050.CCNA_01749,1
565050.CCNA_01750,1
565050.CCNA_01751,0
565050.CCNA_01769,0
565050.CCNA_01770,1
565050.CCNA_01792,1
565050.CCNA_01793,0
565050.CCNA_01795,0
565050.CCNA_01813,0
565050.CCNA_01827,0
565050.CCNA_01898,0
565050.CCNA_01900,1
565050.CCNA_01920,0
565050.CCNA_01945,0
565050.CCNA_01954,0
565050.CCNA_01964,0
565050.CCNA_01999,1
565050.CCNA_02000,1
565050.CCNA_02014,1
565050.CCNA_02054,0
565050.CCNA_02059,0
565050.CCNA_02083,0
565050.CCNA_02093,0
565050.CCNA_02181,0
565050.CCNA_02210,1
565050.CCNA_02250,0
565050.CCNA_02252,0
565050.CCNA_02261,0
565050.CCNA_02325,0
565050.CCNA_02333,1
565050.CCNA_02356,0
565050.CCNA_02425,0
565050.CCNA_02426,0
565050.CCNA_02428,0
565050.CCNA_02430,0
565050.CCNA_02431,0
565050.CCNA_02462,0
565050.CCNA_02520,0
565050.CCNA_02528,1
565050.CCNA_02609,0
565050.CCNA_02612,1
565050.CCNA_02643,1
565050.CCNA_02681,0
565050.CCNA_02693,0
565050.CCNA_02726,0
565050.CCNA_02762,0
565050.CCNA_02776,0
565050.CCNA_02830,0
565050.CCNA_02902,0
565050.CCNA_02964,0
565050.CCNA_02975,0
565050.CCNA_02980,0
565050.CCNA_03047,0
565050.CCNA_03148,0
565050.CCNA_03158,0
565050.CCNA_03201,0
565050.CCNA_03234,0
565050.CCNA_03320,0
565050.CCNA_03334,1
565050.CCNA_03335,1
565050.CCNA_03352,0
565050.CCNA_03359,0
565050.CCNA_03385,0
565050.CCNA_03386,0
565050.CCNA_03544,1
565050.CCNA_03545,0
565050.CCNA_03546,0
565050.CCNA_03655,1
565050.CCNA_03719,1
565050.CCNA_03775,0
565050.CCNA_03823,1
565050.CCNA_03835,1
565050.CCNA_03849,0
565050.CCNA_03861,0
565050.CCNA_00010,1
565050.CCNA_00048,1
565050.CCNA_00054,0
565050.CCNA_00056,0
565050.CCNA_00062,1
565050.CCNA_00104,0
565050.CCNA_00117,1
565050.CCNA_00128,0
565050.CCNA_00159,0
565050.CCNA_00163,0
565050.CCNA_00167,0
565050.CCNA_00173,0
565050.CCNA_00174,0
565050.CCNA_00183,0
565050.CCNA_00192,0
565050.CCNA_00193,0
565050.CCNA_00222,1
565050.CCNA_00230,0
565050.CCNA_00231,0
565050.CCNA_00253,0
565050.CCNA_00261,1
565050.CCNA_00265,0
565050.CCNA_00268,0
565050.CCNA_00272,0
565050.CCNA_00273,1
565050.CCNA_00281,0
565050.CCNA_00283,1
565050.CCNA_00285,0
565050.CCNA_00311,0
565050.CCNA_00316,0
565050.CCNA_00381,0
565050.CCNA_00386,0
565050.CCNA_00390,1
565050.CCNA_00392,0
565050.CCNA_00435,0
565050.CCNA_00472,0
565050.CCNA_00489,0
565050.CCNA_00491,0
565050.CCNA_00494,1
565050.CCNA_00496,1
565050.CCNA_00506,0
565050.CCNA_00523,0
565050.CCNA_00528,0
565050.CCNA_00555,0
565050.CCNA_00556,0
565050.CCNA_00721,1
565050.CCNA_00736,0
565050.CCNA_00740,1
565050.CCNA_00749,1
565050.CCNA_00757,0
565050.CCNA_00758,1
565050.CCNA_00808,1
565050.CCNA_00873,0
565050.CCNA_00874,1
565050.CCNA_00886,1
565050.CCNA_00892,0
565050.CCNA_00898,0
565050.CCNA_00929,0
565050.CCNA_00931,0
565050.CCNA_00941,0
565050.CCNA_00970,0
