index,ess
83332.Rv0001,1
83332.Rv0002,0
83332.Rv0003,0
83332.Rv0004,0
83332.Rv0005,0
83332.Rv0006,0
83332.Rv0017c,0
83332.Rv0058,1
83332.Rv0099,0
83332.Rv0105c,0
83332.Rv0113,0
83332.Rv0119,0
83332.Rv0120c,0
83332.Rv0125,0
83332.Rv0126,0
83332.Rv0140,0
83332.Rv0163,0
83332.Rv0166,0
83332.Rv0169,0
83332.Rv0202c,0
83332.Rv0205,1
83332.Rv0206c,0
83332.Rv0208c,1
83332.Rv0233,0
83332.Rv0302,0
83332.Rv0350,1
83332.Rv0351,1
83332.Rv0352,1
83332.Rv0359,0
83332.Rv0408,0
83332.Rv0422c,1
83332.Rv0427c,0
83332.Rv0440,1
83332.Rv0467,0
83332.Rv0473,0
83332.Rv0482,0
83332.Rv0490,0
83332.Rv0501,0
83332.Rv0540,1
83332.Rv0558,1
83332.Rv0570,0
83332.Rv0586,0
83332.Rv0589,0
83332.Rv0620,0
83332.Rv0629c,0
83332.Rv0630c,0
83332.Rv0631c,0
83332.Rv0639,0
83332.Rv0640,1
83332.Rv0641,0
83332.Rv0652,1
83332.Rv0655,0
83332.Rv0667,1
83332.Rv0668,1
83332.Rv0682,1
83332.Rv0683,1
83332.Rv0684,1
83332.Rv0685,1
83332.Rv0700,1
83332.Rv0701,1
83332.Rv0702,1
83332.Rv0703,1
83332.Rv0704,1
83332.Rv0705,1
83332.Rv0706,1
83332.Rv0707,1
83332.Rv0708,1
83332.Rv0714,1
83332.Rv0716,1
83332.Rv0719,1
83332.Rv0720,1
83332.Rv0734,0
83332.Rv0757,0
83332.Rv0763c,0
83332.Rv0797,0
83332.Rv0809,0
83332.Rv0815c,0
83332.Rv0823c,0
83332.Rv0844c,0
83332.Rv0861c,0
83332.Rv0869c,0
83332.Rv0889c,0
83332.Rv0896,0
83332.Rv0917,0
83332.Rv0949,1
83332.Rv0951,1
83332.Rv0956,0
83332.Rv0983,0
83332.Rv0985c,0
83332.Rv0990c,0
83332.Rv1003,0
83332.Rv1008,0
