index,ess
471876.Spy49_0001,0
471876.Spy49_0002,1
471876.Spy49_0003,0
471876.Spy49_0004,0
471876.Spy49_0005,1
471876.Spy49_0006,0
471876.Spy49_0008,0
471876.Spy49_0009,0
471876.Spy49_0010,0
471876.Spy49_0011,1
471876.Spy49_0012,0
471876.Spy49_0013,1
471876.Spy49_0014,0
471876.Spy49_0023,0
471876.Spy49_0024,0
471876.Spy49_0033,0
471876.Spy49_0035,0
471876.Spy49_0038,0
471876.Spy49_0044,0
471876.Spy49_0045,1
471876.Spy49_0049,1
471876.Spy49_0050,0
471876.Spy49_0053,1
471876.Spy49_0054,1
471876.Spy49_0057,0
471876.Spy49_0059,0
471876.Spy49_0062,1
471876.Spy49_0064,0
471876.Spy49_0065,0
471876.Spy49_0068,1
471876.Spy49_0072,1
471876.Spy49_0073,0
471876.Spy49_0074,1
471876.Spy49_0087,1
471876.Spy49_0088,1
471876.Spy49_0095,0
471876.Spy49_0098,0
471876.Spy49_0141,0
471876.Spy49_0143,0
471876.Spy49_0163,1
471876.Spy49_0168,0
471876.Spy49_0181,0
471876.Spy49_0203,1
471876.Spy49_0207,0
471876.Spy49_0208,0
471876.Spy49_0209,0
471876.Spy49_0210,0
471876.Spy49_0212,0
471876.Spy49_0219,0
471876.Spy49_0221,0
471876.Spy49_0230,0
471876.Spy49_0231,1
471876.Spy49_0233,1
471876.Spy49_0275,0
471876.Spy49_0282,1
471876.Spy49_0283,1
471876.Spy49_0284,1
471876.Spy49_0291,1
471876.Spy49_0301,0
471876.Spy49_0304,0
471876.Spy49_0305,0
471876.Spy49_0319c,1
471876.Spy49_0323,1
471876.Spy49_0326,1
471876.Spy49_0327,1
471876.Spy49_0329,0
471876.Spy49_0339,0
471876.Spy49_0341,0
471876.Spy49_0375,1
471876.Spy49_0382,0
471876.Spy49_0385,1
471876.Spy49_0387,0
471876.Spy49_0388,1
471876.Spy49_0391,1
471876.Spy49_0403,1
471876.Spy49_0416,0
471876.Spy49_0423,0
471876.Spy49_0447,0
471876.Spy49_0448,0
471876.Spy49_0460,0
471876.Spy49_0482,1
471876.Spy49_0495,0
471876.Spy49_0514,1
471876.Spy49_0515,0
471876.Spy49_0520c,0
471876.Spy49_0526c,0
471876.Spy49_0536,1
471876.Spy49_0543,0
471876.Spy49_0549,0
471876.Spy49_0555,0
471876.Spy49_0558,0
471876.Spy49_0560,1
471876.Spy49_0563,1
471876.Spy49_0564c,0
471876.Spy49_0580,1
471876.Spy49_0585,1
471876.Spy49_0586,1
471876.Spy49_0587,1
471876.Spy49_0588,1
471876.Spy49_0596,1
471876.Spy49_0603,0
471876.Spy49_0604,1
471876.Spy49_0608,1
471876.Spy49_0609,1
471876.Spy49_0611,1
471876.Spy49_0624,0
471876.Spy49_0626c,0
471876.Spy49_0629,1
471876.Spy49_0631,0
471876.Spy49_0635,0
471876.Spy49_0637,0
471876.Spy49_0645,0
471876.Spy49_0648,0
471876.Spy49_0654,0
471876.Spy49_0667,1
471876.Spy49_0682,1
471876.Spy49_0696,0
471876.Spy49_0697,1
471876.Spy49_0700,0
471876.Spy49_0701,1
471876.Spy49_0705,0
471876.Spy49_0720,1
