index,ess
158879.SA0001,1
158879.SA0002,0
158879.SA0003,0
158879.SA0004,1
158879.SA0005,1
158879.SA0006,1
158879.SA0009,1
158879.SA0014,1
158879.SA0015,1
158879.SA0023,0
158879.SA0027,0
158879.SA0028,0
158879.SA0120,0
158879.SA0125,0
158879.SA0348,1
158879.SA0350,0
158879.SA0351,1
158879.SA0391,0
158879.SA0392,0
158879.SA0423,0
158879.SA0433,0
158879.SA0436,1
158879.SA0438,0
158879.SA0444,0
158879.SA0447,1
158879.SA0451,0
158879.SA0461,0
158879.SA0464,1
158879.SA0469,1
158879.SA0474,0
158879.SA0477,0
158879.SA0486,1
158879.SA0494,0
158879.SA0495,1
158879.SA0496,1
158879.SA0498,1
158879.SA0500,1
158879.SA0501,1
158879.SA0503,1
158879.SA0504,1
158879.SA0505,1
158879.SA0506,1
158879.SA0513,0
158879.SA0545,1
158879.SA0560,1
158879.SA0564,1
158879.SA0587,0
158879.SA0646,0
158879.SA0661,0
158879.SA0667,0
158879.SA0668,0
158879.SA0674,0
158879.SA0676,0
158879.SA0683,0
158879.SA0686,1
158879.SA0693,0
158879.SA0708,1
158879.SA0709,1
158879.SA0711,0
158879.SA0713,1
158879.SA0714,1
158879.SA0723,0
158879.SA0736,1
158879.SA0828,0
158879.SA0838,0
158879.SA0869,1
158879.SA0870,0
158879.SA0875,0
158879.SA0879,0
158879.SA0923,0
158879.SA0924,1
158879.SA0959,1
158879.SA0962,0
158879.SA0973,0
158879.SA0985,1
158879.SA0993,1
158879.SA0994,0
158879.SA1021,0
158879.SA1024,0
158879.SA1028,1
158879.SA1029,1
158879.SA1040,0
158879.SA1052,0
158879.SA1055,1
158879.SA1067,1
158879.SA1070,0
158879.SA1078,1
158879.SA1080,1
158879.SA1083,1
158879.SA1084,1
158879.SA1093,1
158879.SA1094,1
158879.SA1095,0
158879.SA1099,1
158879.SA1100,1
158879.SA1102,0
158879.SA1112,1
158879.SA1119,0
158879.SA1126,1
158879.SA1128,1
158879.SA1137,0
158879.SA1138,0
158879.SA1170,0
158879.SA1174,0
158879.SA1180,0
158879.SA1182,0
158879.SA1185,0
158879.SA1188,1
158879.SA1189,1
158879.SA1192,0
158879.SA1193,0
158879.SA1204,1
158879.SA1226,0
158879.SA1247,0
158879.SA1260,1
158879.SA1266,0
158879.SA1272,0
158879.SA1273,0
158879.SA1286,0
158879.SA1289,0
158879.SA1290,0
158879.SA1298,0
158879.SA1303,1
158879.SA1308,0
158879.SA1313,0
158879.SA1315,0
158879.SA1324,0
158879.SA1328,0
158879.SA1338,0
158879.SA1341,0
158879.SA1342,0
158879.SA1350,0
158879.SA1354,0
158879.SA1369,0
158879.SA1374,0
158879.SA1390,1
158879.SA1391,1
158879.SA1396,0
158879.SA1409,1
158879.SA1410,0
158879.SA1411,0
158879.SA1414,1
158879.SA1462,0
158879.SA1465,0
158879.SA1467,0
158879.SA1468,0
158879.SA1471,1
158879.SA1486,0
158879.SA1498,0
158879.SA1502,1
158879.SA1504,1
158879.SA1506,1
158879.SA1507,0
158879.SA1508,0
158879.SA1512,0
158879.SA1513,1
158879.SA1518,0
158879.SA1521,1
158879.SA1525,1
158879.SA1531,0
158879.SA1544,0
158879.SA1549,0
158879.SA1562,0
158879.SA1563,1
158879.SA1569,0
158879.SA1613,0
158879.SA1625,0
158879.SA1626,0
158879.SA1652,0
158879.SA1680,0
158879.SA1690,0
158879.SA1697,0
158879.SA1720,1
158879.SA1721,1
158879.SA1791,0
158879.SA1810,0
158879.SA1820,0
158879.SA1828,0
158879.SA1836,0
158879.SA1837,1
158879.SA1870,0
158879.SA1871,0
158879.SA1873,0
158879.SA1888,0
158879.SA1893,0
158879.SA1905,0
158879.SA1907,0
158879.SA1911,0
158879.SA1915,1
158879.SA1917,0
158879.SA1918,0
158879.SA1920,1
158879.SA1922,1
158879.SA1929,0
158879.SA1959,1
158879.SA2008,0
158879.SA2017,1
158879.SA2023,1
158879.SA2024,1
158879.SA2031,1
158879.SA2032,1
158879.SA2033,1
158879.SA2035,1
158879.SA2037,1
158879.SA2040,1
158879.SA2043,1
158879.SA2044,1
158879.SA2047,1
158879.SA2048,1
158879.SA2071,0
158879.SA2082,1
158879.SA2131,0
158879.SA2132,0
158879.SA2138,0
158879.SA2179,0
158879.SA2182,0
158879.SA2188,0
158879.SA2197,0
158879.SA2211,0
158879.SA2213,0
158879.SA2214,0
158879.SA2325,0
158879.SA2354,0
158879.SA2392,0
158879.SA2498,0
158879.SA2499,1
158879.SA2500,1
158879.SA2501,0
158879.SA2502,1
158879.SAP001,0
158879.SAP002,0
158879.SAP018,0
158879.SAS093,1
158879.SA0048,0
158879.SA0077,0
158879.SA0089,0
158879.SA0178,0
158879.SA0353,1
158879.SA0376,1
158879.SA0440,1
158879.SA0442,0
158879.SA0448,1
158879.SA0449,1
158879.SA0450,0
158879.SA0458,1
158879.SA0460,1
158879.SA0463,0
158879.SA0465,0
158879.SA0467,1
158879.SA0468,0
158879.SA0490,0
158879.SA0497,1
158879.SA0502,0
158879.SA0514,0
158879.SA0515,0
158879.SA0524,0
158879.SA0538,0
158879.SA0559,0
158879.SA0619,0
158879.SA0635,0
158879.SA0678,0
158879.SA0687,0
158879.SA0728,1
158879.SA0731,1
158879.SA0759,0
158879.SA0766,0
158879.SA0774,1
158879.SA0776,1
158879.SA0819,0
158879.SA0827,0
158879.SA0857,0
158879.SA0868,0
158879.SA0916,0
158879.SA0918,1
158879.SA0921,0
158879.SA0922,0
158879.SA0972,0
158879.SA0986,1
158879.SA0990,0
158879.SA0992,0
158879.SA1022,0
158879.SA1023,0
158879.SA1026,1
158879.SA1047,0
158879.SA1048,0
158879.SA1053,0
158879.SA1054,1
158879.SA1063,1
158879.SA1068,0
158879.SA1069,0
158879.SA1072,1
158879.SA1073,1
158879.SA1074,1
158879.SA1076,1
158879.SA1077,1
158879.SA1087,0
158879.SA1092,0
158879.SA1101,0
158879.SA1106,1
158879.SA1107,1
158879.SA1109,1
158879.SA1111,0
158879.SA1113,1
158879.SA1114,0
158879.SA1116,0
158879.SA1176,1
158879.SA1177,1
158879.SA1181,0
158879.SA1184,0
158879.SA1187,1
158879.SA1195,0
158879.SA1196,0
158879.SA1202,0
158879.SA1241,0
158879.SA1244,1
158879.SA1250,0
158879.SA1251,1
158879.SA1252,1
158879.SA1259,1
158879.SA1288,0
158879.SA1299,0
158879.SA1301,0
158879.SA1306,0
158879.SA1326,0
158879.SA1359,1
158879.SA1372,0
158879.SA1373,0
158879.SA1386,0
158879.SA1387,0
158879.SA1405,0
158879.SA1415,0
158879.SA1417,0
158879.SA1438,1
158879.SA1443,0
158879.SA1447,0
158879.SA1454,0
158879.SA1480,0
158879.SA1487,0
158879.SA1488,1
158879.SA1493,0
158879.SA1520,1
158879.SA1533,1
158879.SA1550,1
158879.SA1556,0
158879.SA1557,1
158879.SA1564,0
158879.SA1574,0
158879.SA1575,0
158879.SA1656,0
158879.SA1660,0
158879.SA1662,0
158879.SA1669,0
158879.SA1685,0
158879.SA1701,1
158879.SA1704,1
158879.SA1710,0
158879.SA1711,0
158879.SA1717,0
158879.SA1745,0
158879.SA1792,1
158879.SA1806,0
158879.SA1832,0
158879.SA1853,0
158879.SA1867,0
158879.SA1869,0
158879.SA1885,1
158879.SA1887,1
158879.SA1899,0
158879.SA1921,1
158879.SA1951,0
158879.SA1999,0
158879.SA2016,1
158879.SA2027,1
158879.SA2041,1
158879.SA2051,0
158879.SA2063,0
158879.SA2119,0
158879.SA2137,0
158879.SA2180,0
158879.SA2204,0
158879.SA2237,1
158879.SA2303,0
158879.SA2319,0
158879.SA2360,0
158879.SA2384,0
158879.SA2410,0
158879.SA2446,0
158879.SA2470,0
158879.SA2476,0
158879.SA2495,0
158879.SAP028,0
158879.SA0013,0
158879.SA0127,0
158879.SA0255,0
158879.SA0335,0
158879.SA0352,1
158879.SA0354,1
158879.SA0355,0
158879.SA0430,0
158879.SA0472,0
158879.SA0546,0
158879.SA0562,1
158879.SA0729,1
158879.SA0735,0
158879.SA0761,0
158879.SA0862,0
158879.SA0915,0
158879.SA1034,0
158879.SA1117,1
158879.SA1121,0
158879.SA1122,0
158879.SA1125,0
158879.SA1305,0
158879.SA1388,0
158879.SA1389,0
158879.SA1394,0
158879.SA1474,0
158879.SA1937,0
158879.SA1958,0
158879.SA2019,1
158879.SA2020,1
158879.SA2021,0
158879.SA2164,0
158879.SA2257,0
158879.SAS022,0
158879.SA0035,0
158879.SA0128,0
158879.SA0443,0
158879.SA0462,0
158879.SA0473,0
158879.SA0478,0
158879.SA0484,0
158879.SA0618,0
158879.SA0620,0
158879.SA0641,0
158879.SA0710,0
158879.SA0842,0
158879.SA0900,0
158879.SA0925,0
158879.SA0926,0
158879.SA0937,0
158879.SA0938,0
158879.SA0963,0
158879.SA0965,0
158879.SA0991,1
158879.SA1012,0
158879.SA1027,0
158879.SA1031,1
158879.SA1032,0
158879.SA1043,0
158879.SA1088,0
158879.SA1129,0
158879.SA1140,0
158879.SA1199,0
158879.SA1218,0
158879.SA1219,0
158879.SA1220,0
158879.SA1282,0
158879.SA1293,0
158879.SA1297,0
158879.SA1309,1
158879.SA1317,0
158879.SA1355,0
158879.SA1357,0
158879.SA1382,0
158879.SA1395,0
158879.SA1408,1
158879.SA1423,0
158879.SA1434,0
158879.SA1475,0
158879.SA1545,1
158879.SA1586,0
158879.SA1608,1
158879.SA1707,0
158879.SA1708,0
158879.SA1713,1
158879.SA1842,0
158879.SA1858,0
158879.SA1874,0
158879.SA1973,0
158879.SA2028,1
158879.SA2089,0
158879.SA2103,0
158879.SA2136,0
158879.SA2172,0
158879.SA2427,0
158879.SA0115,0
158879.SA0143,0
158879.SA0206,1
158879.SA0232,0
158879.SA0276,0
158879.SA0311,0
158879.SA0329,0
158879.SA0373,0
158879.SA0374,1
158879.SA0375,1
158879.SA0453,0
158879.SA0456,0
158879.SA0475,1
158879.SA0483,1
158879.SA0512,0
158879.SA0516,0
158879.SA0547,0
158879.SA0548,0
158879.SA0549,0
158879.SA0589,0
158879.SA0614,0
158879.SA0615,0
158879.SA0616,1
158879.SA0617,0
158879.SA0636,0
158879.SA0638,1
158879.SA0643,0
158879.SA0650,0
158879.SA0654,1
158879.SA0670,0
158879.SA0780,0
158879.SA0821,0
158879.SA0835,1
158879.SA0855,1
158879.SA0867,0
158879.SA0877,1
158879.SA0902,0
158879.SA0942,0
158879.SA0999,0
158879.SA1036,1
158879.SA1045,0
158879.SA1061,0
158879.SA1081,1
158879.SA1115,0
158879.SA1144,0
158879.SA1146,0
158879.SA1150,0
158879.SA1197,0
158879.SA1248,0
158879.SA1323,0
158879.SA1334,0
158879.SA1416,0
158879.SA1418,0
158879.SA1453,0
158879.SA1456,1
158879.SA1457,1
158879.SA1470,1
158879.SA1515,0
158879.SA1539,0
158879.SA1542,0
158879.SA1571,0
158879.SA1579,1
