,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank
243273.MG_001,0.3559322033898305,0.061818818172317776,0.6059050064184852,0.0019929397828684545,2.0162546455636714e+62,0.0019742501919218906,319.49999999999994,0.6769067796610169,0.4750499001996008,367.0
243273.MG_002,0.15677966101694915,0.029095682687450136,0.5369738339021616,0.00036868457011775545,4.466488067493618e+61,0.0003752891532878766,271.4999999999999,0.5752118644067793,0.5597926693817105,76.0
243273.MG_003,0.4004237288135593,0.07175551246580555,0.6235138705416117,0.0027912788608626515,2.716549069601477e+62,0.0027534343105263454,330.16666666666663,0.699505649717514,0.4872227850951255,405.0
243273.MG_004,0.4491525423728814,0.07702145921154804,0.6439290586630286,0.004159635589781408,3.1298955012987966e+62,0.004111273890536198,341.8333333333333,0.7242231638418078,0.4474201913618886,454.0
243273.MG_005,0.423728813559322,0.07518193360440065,0.6327077747989276,0.003338279974116125,2.982197365241126e+62,0.003321588531734465,335.66666666666663,0.7111581920903954,0.47165829145728644,439.0
243273.MG_006,0.3601694915254237,0.057702346439027226,0.6066838046272494,0.003240100343300398,1.7566664881360757e+62,0.0032255095180454226,320.33333333333326,0.6786723163841807,0.4146884789418726,415.0
243273.MG_007,0.23940677966101695,0.04104155331037488,0.5632458233890215,0.0010978106627951216,8.886956684338906e+61,0.0011008723228284616,291.3333333333332,0.6172316384180788,0.47013274336283184,237.0
243273.MG_008,0.2902542372881356,0.053109029974682406,0.5784313725490197,0.0009410548261095103,1.4881338546888776e+62,0.0009350344269040956,302.9999999999999,0.6419491525423725,0.5192142550450837,144.0
243273.MG_009,0.2648305084745763,0.04299985091315032,0.5749086479902558,0.0016750954391760654,9.755210364837689e+61,0.0016647932325476282,298.1666666666667,0.6317090395480225,0.424,323.0
243273.MG_010,0.3114406779661017,0.057888294587649505,0.59,0.0015284538115452903,1.7680367798984234e+62,0.0015146230317353835,308.99999999999994,0.6546610169491525,0.5196160656043239,201.0
243273.MG_018,0.2584745762711864,0.033106494246752584,0.5714285714285714,0.0054503667139263945,5.782655425011926e+61,0.005570350678640791,296.33333333333326,0.627824858757062,0.30768188592331663,385.0
243273.MG_019,0.288135593220339,0.0450088451665375,0.5812807881773399,0.003478278116754087,1.0688101237276195e+62,0.003489702289760569,303.33333333333326,0.6426553672316383,0.3974945533769063,373.0
243273.MG_020,0.1652542372881356,0.025518506970665242,0.5375854214123007,0.0009452108445222244,3.435664847212143e+61,0.0009638302579571275,272.9999999999999,0.5783898305084741,0.4428904428904429,212.0
243273.MG_024,0.3644067796610169,0.06621070823136135,0.610608020698577,0.002400719330793115,2.31295080394954e+62,0.0023659924797136776,321.8333333333333,0.6818502824858756,0.4998640010879913,347.0
243273.MG_026,0.3580508474576271,0.06542028692748451,0.6066838046272494,0.002497569865028597,2.258076817508219e+62,0.002462225493747481,319.99999999999994,0.6779661016949151,0.5023950408565793,344.0
243273.MG_031,0.11864406779661017,0.019800498022517096,0.5238623751387348,0.0005511092616500761,2.0685065045585025e+61,0.0005988105780323629,261.91666666666663,0.554908192090395,0.45454545454545453,91.0
243273.MG_034,0.2627118644067797,0.04304281099518377,0.5714285714285714,0.001446991375998362,9.774719523917341e+61,0.0014624071185151126,296.9999999999999,0.629237288135593,0.44046682402307896,324.0
243273.MG_035,0.4300847457627119,0.07279244406415981,0.6344086021505376,0.005951282714808648,2.7956486069774777e+62,0.005935748644270311,336.99999999999994,0.7139830508474575,0.42905916207384287,449.0
243273.MG_038,0.2309322033898305,0.036704617229920654,0.5605700712589073,0.0012428146791195957,7.107925769034578e+61,0.001246294901758559,289.3333333333332,0.6129943502824856,0.4417261297995243,228.0
