,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank
511145.b0001,0.007959479015918959,0.0017063279784985716,0.4284828441504754,1.7965793811501444e-05,2.096699227462724e+115,2.833288502925708e-05,1853.4166666665994,0.44703730503293765,0.26136363636363635,760.0
511145.b0002,0.08369512783405693,0.027057662875760304,0.5167643026299389,0.0003634644342612639,5.273520204498908e+117,0.00035849003879428966,2233.5000000000055,0.5387120115774269,0.17316053372424248,3839.0
511145.b0003,0.05547515677761698,0.017140235121897093,0.5069699192956714,0.00021227847952702168,2.1161488189964845e+117,0.00021333476504072828,2168.6666666666742,0.5230744492683753,0.16981203721283464,2236.0
511145.b0004,0.07211770381090207,0.024210392034106087,0.5120414968506855,0.00030454986469268105,4.221961122747912e+117,0.00030103997298820527,2205.166666666675,0.531878115452649,0.19445130300105498,2877.0
511145.b0005,0.0658465991316932,0.01068812914766603,0.5117886680656709,0.00028376953733588554,8.21954957733699e+116,0.00028144877414472804,2195.8333333333376,0.529626949670368,0.21372010342598577,2490.0
511145.b0006,0.03473227206946455,0.008616792504435651,0.4989770128776026,0.00012034662109563745,5.3475658725099346e+116,0.00012380961230781763,2118.16666666667,0.5108940344106828,0.10062160062160062,398.0
511145.b0007,0.021948866377231067,0.005066898500156619,0.4857075913776945,7.665515354949157e-05,1.8490585592500877e+116,8.185267847938741e-05,2062.6666666666533,0.4975076378839004,0.09914529914529914,834.0
511145.b0073,0.08104196816208394,0.029426819587306953,0.5163781292813551,0.0003191841870964205,6.237506983127594e+117,0.0003138139032631649,2228.8333333333403,0.5375864286862866,0.22745202558635394,3328.0
511145.b0075,0.0612638687891944,0.01103936108898845,0.5115992102665351,0.0003010762642759118,8.771152243205672e+116,0.00029853720620213006,2189.0000000000036,0.5279787747226267,0.18987893311755003,2449.0
511145.b0243,0.09117221418234443,0.030063275299567593,0.5204619633442129,0.0005115406418827934,6.509914762690608e+117,0.0005014318613197273,2253.333333333338,0.5434957388647712,0.18677108332280745,3861.0
511145.b0273,0.09093101784852871,0.029705152976258163,0.5198094282848545,0.0005473043944706676,6.355661355506496e+117,0.0005353851054057926,2251.333333333339,0.54301334619714,0.197880805914555,3820.0
511145.b0294,0.0870718765074771,0.020513023660309434,0.5202007528230865,0.000814633771053893,3.029579507031117e+117,0.0007934944517079348,2247.000000000005,0.5419681620839377,0.14750692520775624,3867.0
511145.b0343,0.08393632416787265,0.023154463017904116,0.5184444166562461,0.0006340518745217246,3.8610933979419804e+117,0.00062348291488486,2238.1666666666706,0.539837594468566,0.1601411110006956,3831.0
511145.b0411,0.09141341051616016,0.024734964383103724,0.5211816467630421,0.0007383347416236617,4.405686036905953e+117,0.0007298105219822959,2255.5000000000045,0.5440183309213715,0.13960436124024514,3877.0
511145.b0423,0.07356488181379643,0.024252346888398998,0.5138820029747149,0.00036979645214918347,4.2365444341086885e+117,0.0003669215036657426,2212.000000000007,0.5335262904003889,0.16110871440897326,3325.0
511145.b0855,0.03424987940183309,0.007612496420405986,0.49357142857142855,0.00012536048158874515,4.1731012645230305e+116,0.0001289956680141168,2102.333333333334,0.5070750924585989,0.1460393567076216,1949.0
511145.b1265,0.022190062711046794,0.007225190169992625,0.48701985199107245,0.00010767029723846646,3.7598898273788726e+116,0.00011732819218036179,2066.833333333324,0.4985126226081338,0.298853320592451,973.0
511145.b1597,0.008200675349734685,0.0012276636065385593,0.44290139942313855,2.7333881774891806e-05,1.0850967881960793e+115,5.727664936931457e-05,1906.333333333288,0.45980061103069225,0.1408199643493761,596.0
511145.b1715,0.009165460684997588,0.002248798983536258,0.4543063773833005,2.7099949241026256e-05,3.6420189375800132e+115,3.964115078219738e-05,1946.749999999957,0.4695489628557487,0.1891891891891892,412.0
511145.b2011,0.06198745779064158,0.018169686952171693,0.5119782662385775,0.00031662240304194825,2.3777456120267577e+117,0.0003149623366964948,2191.0000000000045,0.528461167390258,0.1668895914396887,2992.0
511145.b2018,0.008200675349734685,0.0019159124240014462,0.4354127284183995,9.410419765947453e-06,2.6436948970947787e+115,1.5336407740217177e-05,1879.4166666666108,0.4533084097121493,0.4385026737967914,338.0
511145.b2247,0.026290400385914136,0.003694346714439253,0.4929845422116528,0.00014037334564160364,9.826369726517429e+115,0.00014822178452100532,2089.666666666666,0.5040199388969314,0.09344206591913014,1965.0
511145.b2598,0.007959479015918959,0.0017864494667833653,0.44299604658617375,1.8892164651960392e-05,2.2983007792743846e+115,3.0809872534396144e-05,1906.2499999999513,0.4597805113362076,0.17424242424242425,540.0
511145.b3342,0.15074770863482875,0.06033849640683557,0.5386514226321943,0.0009735474978364757,2.622486178964421e+118,0.0009471352720766393,2380.5000000000036,0.5741678726483368,0.22635384615384616,4137.0
511145.b3523,0.02001929570670526,0.0036623997389667257,0.4834985422740525,6.651197750518514e-05,9.658517413751498e+115,7.092926607257666e-05,2053.5833333333167,0.4953167711850722,0.09080223332353805,1159.0
511145.b3672,0.04052098408104197,0.006388573758248542,0.4992173389524383,0.00013985197633032233,2.936790834066663e+116,0.00014162938056862774,2126.916666666669,0.5130045023315711,0.21357285429141717,1285.0
511145.b3766,0.032320308731307285,0.005041037593991956,0.49410082230961744,0.0001395181521079375,1.828925470625898e+116,0.0001479222665501047,2101.249999999998,0.5068137964302988,0.1838177533385703,1103.0
511145.b4246,0.05089242643511819,0.007984504044521255,0.506103515625,0.0002536599509881435,4.587697227013879e+116,0.0002504302165416699,2160.0000000000055,0.5209840810419722,0.19778830963665087,1443.0
511145.b4254,0.05330438977327545,0.016308470284010692,0.5060417429512999,0.00022950598327863467,1.915744978045672e+117,0.00023028081439496073,2163.166666666671,0.521747869432389,0.17461949814890992,2618.0
511145.b4314,0.057163531114327065,0.013831902723073023,0.5097749907783106,0.00030406545933280406,1.3776167440784844e+117,0.00030301175623653135,2178.500000000007,0.5254462132175619,0.1662018164914539,3061.0
511145.b4349,0.02846116739025567,0.008697575332200131,0.4974802015838733,6.236289003288027e-05,5.4482116588956595e+116,6.480834583915775e-05,2105.3333333333353,0.5077986814600477,0.2674199623352166,1116.0
511145.b4350,0.041968162083936326,0.011959316178649003,0.5055481038897696,0.00017214212099346603,1.0299986261969044e+117,0.0001719483880865111,2146.166666666672,0.5176475317575203,0.22895488671849046,1032.0
511145.b4558,0.06246985045827304,0.010755793187622115,0.5125479045617505,0.0004033668497224449,8.325008575878478e+116,0.00039403507796410993,2193.1666666666697,0.5289837594468585,0.20301697045883094,2943.0
511145.b4605,0.002653159671972986,0.0003144328185205885,0.3667079426852998,1.6609609704104139e-06,7.11819929262264e+113,2.3184005618111026e-06,1574.6666666666006,0.37980382698181225,0.36363636363636365,0.0
