,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank
62977.ACIAD0001,0.08817269686834904,0.039876768086712616,0.4968077265871384,0.0003901413258364237,4.55617694126383e+98,0.00037551946293983,1730.3333333333117,0.526097091314476,0.253501968738814,0.0
62977.ACIAD0002,0.10215871085436302,0.043967057830332855,0.5011838725329685,0.000638107945669472,5.538691570009556e+98,0.0006061868729554269,1755.2499999999793,0.5336728488902339,0.22898009950248757,3021.0
62977.ACIAD0003,0.07266646397081179,0.02883189172276059,0.49071884387363285,0.0004788860522824258,2.3816354696477338e+98,0.0004615488017961348,1700.0833333333098,0.5168997668997598,0.21092788579867094,1759.0
62977.ACIAD0004,0.11492854971115841,0.049418823974320396,0.5071400843097481,0.0009309399558953653,6.997457618607298e+98,0.0008823874797181569,1781.999999999982,0.5418060200668842,0.22526770802632873,3186.0
62977.ACIAD0007,0.06901793858315597,0.028421919075882422,0.4891645307934901,0.0006690445731949523,2.31452845408445e+98,0.000622975776468373,1692.4166666666422,0.5145687645687571,0.21383181942224475,1649.0
62977.ACIAD0069,0.03466099118273031,0.010097833636769605,0.46423716563997125,0.00015085138324585345,2.9211804590863763e+97,0.00015519558532734284,1596.333333333292,0.4853552244856467,0.1880142834963515,1323.0
62977.ACIAD0076,0.05016722408026756,0.014116925982613838,0.47798980680336617,0.00036377748670401853,5.709303032615521e+97,0.0003686649772174358,1646.1666666666356,0.500506739637165,0.15920177383592019,2697.0
62977.ACIAD0078,0.049863180297962904,0.017074597493307954,0.4751884013422475,0.0003027488778102493,8.352767247997564e+97,0.000302172112983146,1639.749999999967,0.4985557920340429,0.19549603471494836,2284.0
62977.ACIAD0099,0.0896929157798723,0.030922390676362207,0.49703614393269563,0.0008538530293792392,2.7394068430763815e+98,0.0008174513267718009,1732.4999999999782,0.5267558528428027,0.16368038740920096,3135.0
62977.ACIAD0144,0.044390392216479176,0.013230334164096297,0.47359241226063653,0.0006524864699681603,5.01501944500223e+97,0.0006307916939899236,1629.7499999999663,0.49551535421099613,0.1439773264052905,2431.0
62977.ACIAD0151,0.15019762845849802,0.06227629342872729,0.5166737038650373,0.0018506245229476682,1.1112504555482233e+99,0.0017467858944548425,1840.1666666666486,0.5594912334042714,0.21028816384853535,3284.0
62977.ACIAD0176,0.051687442991790816,0.013875541864288377,0.48089573534413393,0.000526449532635844,5.5157901777380704e+97,0.0005325615294547141,1654.4999999999714,0.5030404378230378,0.1142359902540898,2768.0
62977.ACIAD0185,0.1143204621465491,0.05291912852075405,0.5032838049597826,0.0006706506754461679,8.024305312338946e+98,0.0006295948572652289,1772.9999999999782,0.5390696260261412,0.2813617021276596,3165.0
62977.ACIAD0186,0.10124657950744907,0.04638290997668727,0.49657951908755765,0.0005006097609005104,6.164462461673093e+98,0.000472076446030925,1744.1666666666415,0.5303030303030226,0.27953254459278554,1960.0
62977.ACIAD0187,0.10915171784737002,0.04858856479991913,0.501493867196666,0.0008480246723538845,6.764632468344513e+98,0.0008044091053036943,1763.4999999999777,0.5361812100942468,0.2604067786059974,3128.0
62977.ACIAD0206,0.028884159318941928,0.010244112490191262,0.4609381522400283,0.00011475451885752248,3.0065871595555572e+97,0.00011601195339028746,1581.666666666623,0.48089591567851114,0.22799552071668533,995.0
62977.ACIAD0234,0.08817269686834904,0.03775518313409556,0.49483686895954215,0.0007683069736513515,4.084275858891251e+98,0.0007268005998309126,1726.1666666666433,0.5248302422215395,0.23059300799427276,2695.0
62977.ACIAD0246,0.05138339920948617,0.020239424934056262,0.4769354175236528,0.00017352698978011366,1.1736210125163107e+98,0.00017069350544453207,1644.9999999999675,0.5001520218911425,0.2073119188503804,872.0
62977.ACIAD0263,0.05442383703253269,0.020202034939499843,0.47982850113342795,0.0005004832275370745,1.16923602726643e+98,0.0005074432473868228,1655.083333333303,0.5032177966960484,0.19176448433871068,1815.0
62977.ACIAD0266,0.07418668288233506,0.028499516205700508,0.49034787407935276,0.0006867409744250337,2.3269905354341066e+98,0.0006603550642763935,1700.666666666642,0.5170771257727704,0.1991162382783512,2292.0
62977.ACIAD0271,0.07449072666463971,0.030058624590541955,0.488207261652994,0.00037929218197343067,2.5885593963710127e+98,0.00036194798289647146,1696.4166666666401,0.5157849396979751,0.23258614921378387,651.0
62977.ACIAD0278,0.07753116448768622,0.019476151626916096,0.49213366299860994,0.0011764429889062767,1.086653638649466e+98,0.0011221680447910192,1708.3333333333096,0.519408128103773,0.1190365910143585,3150.0
62977.ACIAD0299,0.08999695956217696,0.04737977900326147,0.4934815640841204,0.0002282922372857642,6.432567851033667e+98,0.00021294629502576528,1725.416666666642,0.5246022093848106,0.36385707741639944,592.0
62977.ACIAD0302,0.08391608391608392,0.045282208836178894,0.48931213626445974,0.0002810210088081297,5.87589650862678e+98,0.000267278164952501,1709.7499999999732,0.5198388567953703,0.4156785243741766,1065.0
62977.ACIAD0304,0.10398297354819094,0.05229402905713999,0.4995626677696918,0.0005478153921267425,7.836286933981822e+98,0.0005199288259660206,1753.8333333333107,0.533242120198635,0.3400044588499597,1626.0
62977.ACIAD0306,0.062024931590148984,0.03578393540477842,0.47876599338069664,0.00013220820799195635,3.6695004798409865e+98,0.00013393838286934352,1661.6666666666347,0.5052194182628869,0.5111561866125761,566.0
62977.ACIAD0307,0.14381270903010035,0.06391191180917387,0.5165091318937474,0.0018182550348805413,1.1704163667658704e+99,0.0017188040969700552,1832.8333333333167,0.5572615790007044,0.24165979861683448,3278.0
62977.ACIAD0308,0.11006384919428398,0.052811130137424604,0.5047721150444885,0.0008366771890208034,7.991655603621299e+98,0.0007971607316344989,1771.5833333333142,0.5386388973345437,0.29215959351708726,2635.0
62977.ACIAD0340,0.11219215567041654,0.04547979920004547,0.503440055753002,0.0012149076041589387,5.92612051652319e+98,0.0011199861802559034,1770.9999999999789,0.538461538461532,0.20232414280664546,3213.0
62977.ACIAD0342,0.0903010033444816,0.03463034143225781,0.4951390594138686,0.0007605392585117459,3.435864362929717e+98,0.0007128646844801301,1729.499999999977,0.5258437214958884,0.18930293930293932,2986.0
62977.ACIAD0384,0.08938887199756765,0.02860817080618136,0.49438427426232306,0.0010163424173733966,2.3447641756706626e+98,0.000997476964117231,1726.333333333309,0.5248809161852566,0.1347774604722435,3163.0
62977.ACIAD0397,0.07266646397081179,0.021098605464030144,0.49393250672568373,0.001260603030050751,1.275394224486204e+98,0.0012232878947461955,1707.1666666666463,0.519053410357752,0.12728103793818782,3061.0
62977.ACIAD0398,0.0903010033444816,0.02868186964114256,0.49933192288850486,0.0012033415225708266,2.3568453554854164e+98,0.001162352330874185,1738.166666666647,0.5284787676091964,0.14075439075439075,3161.0
62977.ACIAD0399,0.07236242018850715,0.024869598093451288,0.49101602409702333,0.0008808114040285891,1.771959873719349e+98,0.000835469161968704,1700.33333333331,0.516975777845336,0.16515973477998794,2861.0
62977.ACIAD0409,0.08695652173913043,0.03574897240661447,0.4951390594138686,0.0008378922468284761,3.661564703211049e+98,0.0007761458164751103,1725.4166666666438,0.5246022093848112,0.21486934118513065,2540.0
62977.ACIAD0451,0.10884767406506538,0.03135405460177163,0.5030496105414672,0.0018415076242540849,2.816425096845313e+98,0.001790220718256434,1766.6666666666463,0.5371440154048788,0.1502120401233119,3233.0
62977.ACIAD0479,0.12435390696260262,0.045879429070277096,0.5080139159086527,0.001577868097270244,6.030554537860146e+98,0.0014982220737984066,1794.0833333333137,0.5454798824363982,0.179287118270291,3255.0
62977.ACIAD0493,0.14138035877166313,0.05527632508192659,0.515114491607503,0.0021738157733414924,8.754178766937073e+98,0.0020000462658134525,1827.333333333316,0.5555893381980286,0.18553948832035594,3277.0
62977.ACIAD0502,0.0814837336576467,0.04014680545737968,0.48666879339148245,0.0002555805342333577,4.6185886623263736e+98,0.0002473644704377043,1701.3333333333048,0.5172798216276391,0.33735815305495,981.0
62977.ACIAD0515,0.082091821222256,0.03226168477505272,0.49318139281642936,0.0007751774842042912,2.98191643751791e+98,0.0007185848870396326,1715.6666666666429,0.5216377825073405,0.2017072834916701,2475.0
62977.ACIAD0534,0.08057160231073275,0.036594057187930296,0.49243255984829015,0.0004378531100700503,3.836922128885339e+98,0.00041348126410255487,1712.83333333331,0.5207763251241442,0.2577186963979417,978.0
62977.ACIAD0535,0.07479477044694437,0.030423226118198282,0.48828076470352894,0.0004374636387329246,2.651833374600444e+98,0.0004239011471484718,1697.1666666666406,0.5160129725347037,0.210386593661855,1995.0
62977.ACIAD0540,0.07601094557616297,0.025229144616574314,0.4892383223956614,0.0006345430656367019,1.8235201300590343e+98,0.0006173175341519591,1700.2499999999739,0.5169504408634764,0.1856706827309237,3001.0
62977.ACIAD0561,0.08878078443295835,0.03191104869825202,0.49385729239543763,0.0007656946269257024,2.917457923586076e+98,0.0007390902011437329,1725.0833333333096,0.524500861457376,0.17422209669067457,3101.0
62977.ACIAD0587,0.06749771967163272,0.02613154175742147,0.4856485233843724,0.00027926554100282625,1.956386219197363e+98,0.0002706524839450482,1682.8333333333057,0.5116550116550033,0.2072887367005014,1906.0
62977.ACIAD0590,0.10459106111280024,0.04680075118678988,0.49971661620351915,0.0006886576642007371,6.275971015638023e+98,0.0006567139337354633,1754.6666666666438,0.5334954900172222,0.24789816258729405,2984.0
62977.ACIAD0597,0.07844329583460018,0.02709161342437018,0.4911647492292654,0.0007471735408142882,2.1026444597169655e+98,0.0007111265279543306,1707.1666666666417,0.5190534103577507,0.17105540976683858,2961.0
62977.ACIAD0636,0.07297050775311645,0.02840925653417935,0.4877667076493968,0.0006733346336267617,2.312264743639254e+98,0.0006274032328475241,1693.5833333333064,0.5149234823147785,0.21290097629009763,2384.0
62977.ACIAD0648,0.13043478260869565,0.052182471335041745,0.5100111399844063,0.0015563832276956503,7.801662325592436e+98,0.0014584625473698261,1804.833333333314,0.5487483530961733,0.19729647299740757,3266.0
62977.ACIAD0660,0.1131042870173305,0.049279232436011774,0.5038311075284821,0.0005916438292886559,6.957978643255817e+98,0.000563004947272961,1772.9999999999793,0.5390696260261415,0.23142915108831116,3205.0
62977.ACIAD0701,0.05047126786257221,0.016284822464335186,0.4791904313180909,0.00043948680321400827,7.598255584695083e+97,0.000447663630784142,1649.6666666666374,0.5015708928752318,0.13472070098576122,2505.0
62977.ACIAD0707,0.06263301915475829,0.023838833157381493,0.48434301660108114,0.0003363519628654869,1.6281861024473537e+98,0.00033208590611268107,1674.7499999999727,0.5091973244147074,0.1923750887994317,1775.0
62977.ACIAD0708,0.04317421708726057,0.007627048216733847,0.47791936916605354,0.0005501527680142298,1.6662671645042828e+97,0.0005615747522389861,1638.6666666666379,0.49822641126988076,0.08310858056138248,2821.0
62977.ACIAD0722,0.05411979325022803,0.02320003765010027,0.4766550322105878,0.00014323496874876087,1.5421249298255338e+98,0.00014031322239911096,1647.4999999999668,0.5009121313469038,0.2360185361518441,424.0
62977.ACIAD0724,0.06749771967163272,0.028996265918446965,0.48390940602220817,0.0002505664281564847,2.408964605523776e+98,0.00024431959670029513,1679.4166666666383,0.5106161953987954,0.23321511556805674,1031.0
62977.ACIAD0755,0.020674977196716328,0.002810048861927027,0.4517566289400807,0.00017038619618051383,2.2616885642539143e+96,0.00018194677672232903,1549.166666666615,0.47101449275360746,0.12686567164179105,1253.0
62977.ACIAD0777,0.044390392216479176,0.010227771318830656,0.47975752058592297,0.0007757746943139684,2.996689482948434e+97,0.0007616693286828181,1644.5833333333067,0.5000253369818506,0.09768540387340577,2600.0
62977.ACIAD0779,0.04378230465186987,0.010922737397208632,0.47841286903095426,0.0006430412793062295,3.417821669698131e+97,0.0006128085437322248,1640.583333333305,0.4988091618526315,0.11227661227661227,2420.0
62977.ACIAD0791,0.08057160231073275,0.02682699216437895,0.4910903754029133,0.0007374620886753583,2.0618421458551262e+98,0.0007155903415724303,1709.3333333333078,0.5197121718860772,0.14939965694682675,3064.0
62977.ACIAD0825,0.11948920644572819,0.05314260605679696,0.5054014086272152,0.001011196246723233,8.092013476961584e+98,0.0009532167014187855,1783.1666666666456,0.5421607378129053,0.24579373734226515,3228.0
62977.ACIAD0826,0.06780176345393737,0.025511535420028996,0.48528517719001035,0.00041499205519194106,1.864672266134545e+98,0.0004155999183469158,1682.1666666666383,0.5114523158001333,0.19015876863410497,793.0
62977.ACIAD0838,0.03070842201276984,0.009521898492817866,0.46330869130869134,0.000246833477694683,2.5976278885867835e+97,0.0002749218012414221,1589.8333333332923,0.48337893990066655,0.1508910891089109,1185.0
62977.ACIAD0839,0.11766494375190027,0.055599805078084166,0.5047721150444885,0.0009916437596036653,8.857856792271436e+98,0.0009105121440236905,1779.9166666666456,0.5411725955204152,0.2774229826886774,3168.0
62977.ACIAD0841,0.10763149893584677,0.037880121426232566,0.5015714257904175,0.001220510842679178,4.111029016692185e+98,0.0011629203216482998,1761.9999999999782,0.53572514442079,0.15548726812951136,3224.0
62977.ACIAD0846,0.08634843417452114,0.03123464159855119,0.4937069324342882,0.0008239802861506846,2.795161875727095e+98,0.0007969540323951336,1721.4999999999757,0.5234113712374509,0.16714776290250336,3076.0
