,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank
401614.FTN_0001,0.11720116618075802,0.044586103847451965,0.506743889099522,0.0007440205931117446,6.241917206558434e+73,0.0007281495649142361,930.4166666666717,0.5425170068027241,0.2810945273631841,776.0
401614.FTN_0002,0.13760932944606413,0.047590316022357804,0.5193193348768078,0.001979513591594836,7.111302007608518e+73,0.001916443007625238,955.6666666666699,0.5572400388726938,0.23418680129823297,1577.0
401614.FTN_0020,0.10553935860058308,0.03902599950017701,0.5014965411354736,0.0007731408330013319,4.782175544371479e+73,0.0007575755815037162,918.0833333333388,0.5353255587949498,0.27170042971147945,676.0
401614.FTN_0058,0.03848396501457726,0.007877022099331043,0.4604885381792722,0.0005818512752907819,1.9481698050004943e+72,0.000655101126743906,829.8333333333456,0.48386783284743184,0.14032634032634034,1239.0
401614.FTN_0062,0.07580174927113703,0.0229674950397308,0.49032638386980065,0.0005632125342142756,1.65624639560819e+73,0.0005591794264019018,888.08333333334,0.517832847424688,0.23530113297555158,895.0
401614.FTN_0073,0.13177842565597667,0.0453031605332852,0.5102523507037631,0.0015926667022472952,6.444300256192932e+73,0.0015377468808679725,942.6666666666717,0.5496598639455812,0.23579154375614553,1608.0
401614.FTN_0074,0.06822157434402332,0.02013135824043468,0.4818244198515921,0.0004766560513463662,1.2724921357197513e+73,0.00048662326809429215,873.8333333333416,0.5095238095238143,0.20792808723843206,923.0
401614.FTN_0075,0.059475218658892125,0.017336441186038106,0.4772123617786883,0.0006421630120236431,9.437253888093e+72,0.0006761351648720953,863.0833333333424,0.5032555879494708,0.22616967579110853,973.0
401614.FTN_0076,0.10495626822157435,0.04145906222157872,0.4940420603433113,0.0006342689602067289,5.397331738939747e+73,0.0006174161867564241,909.0833333333409,0.5300777453838722,0.35698324022346367,934.0
401614.FTN_0079,0.08746355685131195,0.028934571237706014,0.49389810869402706,0.0009055881703267018,2.6286906060676115e+73,0.0009028718372832237,899.0000000000064,0.5241982507288667,0.2557494407158837,1065.0
401614.FTN_0098,0.08104956268221575,0.02539527366310918,0.4920343422461251,0.0005779487963349948,2.0249345796376907e+73,0.0005682088067681129,893.1666666666731,0.520796890184649,0.20790324262329268,605.0
401614.FTN_0104,0.03381924198250729,0.008289527748266155,0.4591165517437435,0.00016824761321575785,2.1574953560397228e+72,0.00017870737746736282,825.2500000000125,0.4811953352769752,0.17664851784633998,0.0
401614.FTN_0106,0.09970845481049563,0.042623846472091005,0.4910365901036793,0.0003185848688052952,5.704874119503043e+73,0.00030927830186816823,902.6666666666746,0.526336248785233,0.41327829377364983,266.0
401614.FTN_0107,0.15510204081632653,0.0576185660072008,0.519160278418959,0.0014016364259463539,1.0424131547310789e+74,0.0013506340146003327,965.4166666666712,0.5629251700680299,0.25856149808483475,1642.0
401614.FTN_0121,0.0553935860058309,0.015017065155092896,0.47680965092486666,0.00042199379777940114,7.080746143920984e+72,0.0004392413755896668,860.5000000000086,0.5017492711370313,0.19417693169092945,1156.0
401614.FTN_0122,0.18775510204081633,0.06761952066214384,0.5335405442360406,0.0026520100290105715,1.4356929864287297e+74,0.0025291950140225988,998.66666666667,0.5823129251700699,0.24871809756003174,1705.0
401614.FTN_0123,0.04956268221574344,0.013447714015739305,0.4799145835328145,0.00041173447925627,5.678019710730413e+72,0.0004353652138028721,860.6666666666744,0.5018464528668655,0.18123249299719887,556.0
401614.FTN_0126,0.07813411078717201,0.025264078714604357,0.4849952243313021,0.000511276637741839,2.0040748133395916e+73,0.0004977451618748201,883.0833333333416,0.5149173955296452,0.2523846930759735,976.0
401614.FTN_0150,0.07346938775510203,0.019622789894633275,0.48820803831736775,0.001045060284743817,1.2089820910647082e+73,0.0010490059797316818,884.250000000007,0.515597667638488,0.17561904761904762,1364.0
401614.FTN_0164,0.1510204081632653,0.057551365567931764,0.5161566105474729,0.0011351435294765112,1.0399859486528063e+74,0.0010878901205161465,960.0833333333381,0.5598153547133167,0.27730388195504474,1571.0
401614.FTN_0166,0.12769679300291545,0.0478289284463099,0.5110214980518242,0.0010534456980715512,7.18276368522009e+73,0.0010057938831585591,941.083333333338,0.5487366375121504,0.27187801097566083,890.0
401614.FTN_0167,0.13994169096209913,0.05515578799137712,0.5134984274577101,0.0016413366600266741,9.552329275174682e+73,0.0015841624583728374,950.7500000000049,0.5543731778425685,0.30129009762900977,1290.0
401614.FTN_0172,0.1032069970845481,0.032283181590716824,0.5004600853374375,0.001487000983571969,3.2723297202014476e+73,0.0014412832307523157,915.4166666666724,0.5337706511175933,0.20582948125321007,1466.0
401614.FTN_0189,0.11486880466472303,0.03950251511022759,0.5075024877358985,0.00128540865064955,4.8995659804804296e+73,0.0012363746279902203,930.0833333333379,0.5423226433430541,0.2371801512483166,1295.0
401614.FTN_0220,0.10379008746355685,0.030198741433768567,0.5004600853374375,0.0018602812420622425,2.863409359388737e+73,0.0018399108673122077,915.6666666666725,0.5339164237123455,0.1891068367929918,1514.0
401614.FTN_0221,0.17551020408163265,0.06596795095334454,0.5325348127671696,0.0028419921524921628,1.3664337904104286e+74,0.0026434417367939794,990.6666666666695,0.5776482021379997,0.26992248062015506,1694.0
401614.FTN_0227,0.16676384839650146,0.06726038563268108,0.5242988892786579,0.0011152105924026137,1.4205260012743496e+74,0.0010563950049945932,977.3333333333375,0.5698736637512172,0.32577597840755734,1654.0
401614.FTN_0228,0.158600583090379,0.06621260224746396,0.5186836930960529,0.000971718912164563,1.3766167225310103e+74,0.000923118524989084,966.9166666666715,0.5637998056365432,0.3527512481007163,771.0
401614.FTN_0230,0.14402332361516035,0.05714325061687837,0.5139655273007584,0.0014240385222861647,1.0253237571401964e+74,0.0013585752586199383,953.5000000000051,0.5559766763848426,0.3211217537276587,1506.0
401614.FTN_0234,0.10670553935860058,0.037285510146913586,0.49621144878158696,0.0006704281081685817,4.3651750485160587e+73,0.0006631545759599169,912.6666666666737,0.5321671525753199,0.23701435176845012,791.0
401614.FTN_0235,0.16384839650145772,0.0650336162462976,0.5231661447647843,0.0017638959959009946,1.328034379656678e+74,0.001691246916680463,974.5833333333375,0.5682701652089431,0.3201576004067107,1664.0
401614.FTN_0236,0.13119533527696792,0.056950078863760585,0.5065924414339215,0.0004965958350644905,1.0184280202854711e+74,0.00047002135181074454,938.250000000006,0.5470845481049598,0.4151190476190476,599.0
401614.FTN_0238,0.12128279883381923,0.053712454322545386,0.505836558948941,0.0006601368169910964,9.059278626756386e+73,0.0006613710223672916,931.7500000000056,0.5432944606414026,0.44351542177629133,574.0
401614.FTN_0239,0.13294460641399417,0.05754354777065854,0.5097919726429777,0.0007442851761621259,1.0397624174191222e+74,0.000713577032658045,942.7500000000053,0.5497084548104988,0.4083777726253961,682.0
401614.FTN_0240,0.11836734693877551,0.05271821557724786,0.5050829287955604,0.00041989285068794673,8.727010938487623e+73,0.0004131387667776599,929.2500000000056,0.5418367346938808,0.45393357069697116,363.0
401614.FTN_0242,0.11545189504373178,0.052998449200982754,0.49839997325430785,0.00025934700936189044,8.820031959892789e+73,0.00025079463765357435,920.0833333333404,0.5364917395529681,0.47787519868738143,0.0
401614.FTN_0243,0.11137026239067055,0.05045050144518755,0.49592109685134605,0.0003778015796801843,7.992401019411424e+73,0.000366216349115982,914.9166666666741,0.5334791059280899,0.481454946266189,524.0
401614.FTN_0245,0.1282798833819242,0.05757291661721428,0.5034328212170778,0.0004021762990296201,1.0408256524163622e+74,0.0003842397743950895,933.1666666666732,0.544120505344999,0.4428808634288086,538.0
401614.FTN_0246,0.11253644314868805,0.049786170756694316,0.4972303634608099,0.0004366435884731442,7.783262714503159e+73,0.000422274210947475,917.0833333333405,0.534742468415942,0.4469991364421416,836.0
401614.FTN_0249,0.09912536443148688,0.0458944072253432,0.4930361573699537,0.00032805945613583674,6.61406349919382e+73,0.0003287612119305348,904.5000000000075,0.5274052478134155,0.5245388096066829,558.0
401614.FTN_0251,0.11720116618075802,0.05330731784893321,0.5009037556258573,0.0006123425101674191,8.92313186717112e+73,0.0005954445866423393,923.9166666666732,0.538726919339168,0.4682089552238806,723.0
401614.FTN_0254,0.10670553935860058,0.04895425827728446,0.49621144878158696,0.00039671855574060285,7.525379504792636e+73,0.0003860893380090329,912.5833333333404,0.5321185617104026,0.5020716987930103,707.0
401614.FTN_0255,0.10903790087463557,0.04898496140808069,0.49679317380946686,0.0004748977929803159,7.534762598656029e+73,0.00045880225270356116,914.5833333333404,0.5332847424684201,0.4619055833477086,685.0
401614.FTN_0261,0.12361516034985423,0.054312034986468305,0.5053841112217952,0.000544589113518502,9.262649413144705e+73,0.0005280917638681225,932.5833333333392,0.5437803692905768,0.4347670571403022,607.0
401614.FTN_0262,0.12361516034985423,0.05399234051323533,0.5040316113701757,0.00046864671408651423,9.153928189594911e+73,0.00044601281181062634,931.0833333333395,0.5429057337220639,0.43056424930698384,616.0
401614.FTN_0264,0.1457725947521866,0.06098325391009456,0.5150587386927684,0.0011378191621950787,1.167770967203325e+74,0.0010767105528708117,955.7500000000049,0.5572886297376122,0.36536546184738955,1346.0
401614.FTN_0270,0.1924198250728863,0.07164992558242392,0.5322004110009108,0.002034638750795254,1.6119343615818008e+74,0.0019370176994302846,1000.1666666666705,0.5831875607385834,0.26058763931104356,1710.0
401614.FTN_0294,0.1306122448979592,0.04329096483730133,0.5100987989882338,0.0017819043030754462,5.884343977084062e+73,0.0016874086982806076,941.8333333333384,0.5491739552964072,0.22437540038436898,1593.0
401614.FTN_0331,0.051895043731778424,0.01620040575163448,0.471898192939282,0.00035412061718379656,8.24065487271521e+72,0.0003701687564394731,852.0000000000101,0.4967930029154578,0.2257405515832482,604.0
401614.FTN_0333,0.11661807580174927,0.04655388494132035,0.5078065635224389,0.0013278104148411124,6.805356125544502e+73,0.0012537265250806356,931.4166666666713,0.5431000971817326,0.34934673366834174,1195.0
401614.FTN_0335,0.12886297376093295,0.04475009714558731,0.5084158095494604,0.0017505430650450924,6.287782546249737e+73,0.0016568926622697981,939.0000000000053,0.5475218658892159,0.24101192924722337,1490.0
401614.FTN_0402,0.14693877551020407,0.04537771637645288,0.5167860698286283,0.00243967377842228,6.465350017794702e+73,0.002328828413261834,958.2500000000045,0.5587463556851339,0.19544046038069943,1661.0
401614.FTN_0419,0.09271137026239067,0.02952638242238748,0.4982534712045564,0.0008060699074185424,2.7372590636251547e+73,0.000790613401236198,907.3333333333386,0.5290573372206056,0.2280073242576228,1094.0
401614.FTN_0421,0.09037900874635568,0.029140310525036624,0.4951967014425653,0.0006928107153198564,2.66615192056098e+73,0.0006780568645558184,902.4166666666727,0.5261904761904797,0.22773355676581483,1130.0
401614.FTN_0432,0.17784256559766765,0.060092509560072206,0.5313662410777118,0.002554654108605339,1.1338349384917552e+74,0.002402567026361607,991.0000000000031,0.5778425655976694,0.22014667817083694,1700.0
401614.FTN_0433,0.05131195335276968,0.015484367515879291,0.47855965811346723,0.00044077348884037263,7.52833754199349e+72,0.00046549859331773214,860.0000000000082,0.5014577259475267,0.2168234064785789,702.0
401614.FTN_0434,0.0728862973760933,0.021492542886755738,0.4862473634646876,0.0005856202745589055,1.4503879715945013e+73,0.0005936706292428462,881.6666666666741,0.5140913508260491,0.20425806451612905,627.0
401614.FTN_0437,0.037900874635568516,0.008552189368512502,0.46401815194029594,0.0005298360394304809,2.2964081013567823e+72,0.0005898670945491452,833.9166666666781,0.4862487852283837,0.14567307692307693,491.0
401614.FTN_0438,0.09387755102040816,0.032725233551966104,0.4954862055065481,0.0017785851507796076,3.3626190213892985e+73,0.0017726134544350555,904.5833333333396,0.5274538386783322,0.24736024844720497,431.0
401614.FTN_0455,0.036151603498542274,0.010100537153216729,0.4672156309365769,0.0003071618005045245,3.2032307245769206e+72,0.0003235136841618732,837.0000000000105,0.4880466472303268,0.18138551031200423,548.0
401614.FTN_0461,0.10495626822157435,0.028437924062878178,0.5020907313500891,0.0019350185232432195,2.539198005123148e+73,0.0019245189796158425,918.3333333333387,0.5354713313897018,0.15356921166977033,1551.0
401614.FTN_0484,0.1131195335276968,0.033033720947970885,0.5031339593463642,0.001386163110702725,3.426217787729885e+73,0.00132795408984746,924.5000000000053,0.5390670553935891,0.18305646065915282,1562.0
401614.FTN_0485,0.14169096209912535,0.04457037653004038,0.5156855214596595,0.0026605842105696187,6.237332428231735e+73,0.0024874203971699997,954.2500000000043,0.5564139941690988,0.19409584056048704,1650.0
401614.FTN_0492,0.09912536443148688,0.035233836071778636,0.4989868439911395,0.0010524239520549813,3.8979474081698184e+73,0.0010175070640374396,911.5000000000058,0.5314868804664756,0.24810302819352592,1112.0
401614.FTN_0499,0.16967930029154518,0.0584600187224444,0.5267427933616845,0.0023274219787652603,1.0730643711884213e+74,0.002225029269457614,981.583333333337,0.5723517978620041,0.2298139589998815,1686.0
401614.FTN_0516,0.06064139941690962,0.016188532824161748,0.4786948062801189,0.0003635567839264232,8.228258670666346e+72,0.00036438008331349047,865.5000000000088,0.5046647230320751,0.1924943988050784,694.0
401614.FTN_0519,0.08629737609329446,0.026271248872652645,0.49189155804930385,0.0007293956745318866,2.1670498003915104e+73,0.0007350510725400028,896.0833333333401,0.522497570456758,0.2003125574554146,1286.0
401614.FTN_0520,0.10145772594752187,0.030655647995389376,0.49781448136208545,0.001068953567207416,2.950691391177866e+73,0.0010516426123762055,911.750000000006,0.531632653061228,0.21055079396717827,1487.0
401614.FTN_0524,0.13994169096209913,0.044342015046783596,0.5130321758589288,0.0017525900987479034,6.173525171189825e+73,0.0016810741820410412,950.250000000005,0.5540816326530641,0.2096931659693166,1643.0
401614.FTN_0527,0.0728862973760933,0.022837579715599247,0.48652649513142965,0.0005290997067724749,1.637580230617925e+73,0.000531842058388393,882.2500000000072,0.5144314868804707,0.22154838709677419,582.0
401614.FTN_0540,0.03965014577259475,0.01160663679387684,0.460363473394324,0.00012373800477074744,4.22968147317058e+72,0.00012957711770828398,830.2500000000125,0.48411078717201894,0.2550482879719052,382.0
401614.FTN_0543,0.10204081632653061,0.03393375966565692,0.4965021409015527,0.0007593585061101872,3.615467013610887e+73,0.0007240843828865517,910.5000000000065,0.5309037900874674,0.2555008210180624,813.0
401614.FTN_0560,0.16676384839650146,0.06085886500317421,0.5252737245236756,0.001967765845497698,1.16296665772938e+74,0.0018979286651940154,978.5000000000038,0.5705539358600605,0.254447307078886,1680.0
401614.FTN_0568,0.12536443148688045,0.037724888662495744,0.5110214980518242,0.0013214071586118983,4.468494356104568e+73,0.0012837433189238085,939.7500000000045,0.5479591836734721,0.19608780699847858,1615.0
401614.FTN_0569,0.13994169096209913,0.04698870247076088,0.5180496054516812,0.0017166375121082235,6.932547648150593e+73,0.0016536494637258287,955.7500000000036,0.5572886297376114,0.22709205020920503,1639.0
401614.FTN_0570,0.059475218658892125,0.015046647603638165,0.4799145835328145,0.0006801828044919185,7.10846969188222e+72,0.0007188925088458209,866.5000000000082,0.5052478134110835,0.14657348087749952,1235.0
401614.FTN_0577,0.1358600583090379,0.04545110905863896,0.5141214161473767,0.0014725464971914821,6.486207915892351e+73,0.0013931094830170983,949.0833333333378,0.5534013605442203,0.23098268462335356,1592.0
401614.FTN_0594,0.11137026239067055,0.0344956561891855,0.5052334751230704,0.0016538018409845072,3.736218193216814e+73,0.0015184950435271414,925.4166666666717,0.5396015549076804,0.21961972995315515,1520.0
401614.FTN_0600,0.12653061224489795,0.04811438191294911,0.5107135610237725,0.0010741560300615962,7.268814992826912e+73,0.0010437384498488095,940.083333333338,0.5481535471331417,0.28225806451612906,958.0
401614.FTN_0601,0.03498542274052478,0.011371388108436136,0.4565198785450851,9.979524145912708e-05,4.059995179859568e+72,0.00010474703822903351,822.1666666666803,0.47939747327503224,0.27853107344632766,233.0
401614.FTN_0603,0.07871720116618075,0.026015383659022926,0.4906102196925907,0.0007418219430607789,2.125044592413768e+73,0.0007440971431053124,890.1666666666733,0.519047619047623,0.23969043670536208,900.0
401614.FTN_0607,0.09096209912536443,0.027639750150881222,0.4953414111741382,0.0007535288098573087,2.398649448495227e+73,0.0007534660053755324,902.7500000000061,0.5263848396501494,0.2215880893300248,1361.0
401614.FTN_0621,0.19067055393586005,0.06819224195923919,0.5345500816896566,0.0029174433213659356,1.4601297361343173e+74,0.0028038389007988464,1001.4166666666699,0.583916423712344,0.24554886399879927,1708.0
401614.FTN_0636,0.03032069970845481,0.005500548672464007,0.4543174240251678,0.0002973236889034929,9.499532766200967e+71,0.00034461733645454025,817.0833333333468,0.47643343051507103,0.1244343891402715,1104.0
401614.FTN_0638,0.03848396501457726,0.010086665946231463,0.46529187730933325,0.00028191509529899964,3.194442757280692e+72,0.00029814915816538665,835.8333333333445,0.4873663751214837,0.14032634032634034,833.0
