,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank
211586.SO_0001,0.03287981859410431,0.01146207156424305,0.46517835658239404,0.0004944564027643222,1.8764059314652044e+105,0.000454555116879814,2146.5333333333374,0.48674225245653974,0.13524904214559386,2283.0
211586.SO_0002,0.018367346938775512,0.00433480668952648,0.4552367919537009,4.859983227951445e-05,2.6827340437073257e+104,5.000001130821773e-05,2091.249999999967,0.4742063492063397,0.12129629629629629,818.0
211586.SO_0003,0.0727891156462585,0.03341581765073626,0.4851329394849887,0.0004165557219741928,1.5949632613139716e+106,0.0004017410536708027,2268.9166666667193,0.5144935752078778,0.19550233644859813,3636.0
211586.SO_0004,0.08775510204081632,0.03993544414842288,0.4888622368139175,0.0005443925737933831,2.2780688449959802e+106,0.0005379287256135179,2302.4166666667325,0.5220899470899638,0.1949096946084535,4199.0
211586.SO_0005,0.031746031746031744,0.013090553444254308,0.46107254782407514,7.07624488315628e-05,2.4477240076825773e+105,6.958695794976055e-05,2130.7833333333238,0.48317082388510735,0.19691675231243577,616.0
211586.SO_0006,0.05238095238095238,0.025477610984712417,0.47320472744977066,0.00018790587583901973,9.272162004740554e+105,0.00018539919875259857,2201.0833333333658,0.4991118669690211,0.2685111989459816,572.0
211586.SO_0007,0.05283446712018141,0.028718677934212917,0.47152669650136725,0.000109003064769453,1.1781702579112138e+106,0.00010531402547465566,2196.250000000032,0.498015873015883,0.3441246115139855,847.0
211586.SO_0008,0.07732426303854875,0.03666093410593166,0.48685536864991935,0.000404901912639331,1.9198057215934097e+106,0.0003920590634627335,2280.7500000000546,0.5171768707483159,0.21079868897705709,3463.0
211586.SO_0009,0.08843537414965986,0.03983489828296266,0.4916006540042262,0.000635422734273784,2.266549071149255e+106,0.0006194558703702462,2311.7500000000596,0.5242063492063642,0.1834420934678004,4140.0
211586.SO_0010,0.06031746031746032,0.025389883579255142,0.48204190241038375,0.0003989686534884389,9.20740225415539e+105,0.0003869639884911194,2240.7500000000473,0.5081065759637359,0.17454958150092212,1997.0
211586.SO_0011,0.09206349206349207,0.043963161149803295,0.49143548411263555,0.0005421239001704677,2.760727660798883e+106,0.0005185592649967055,2316.416666666728,0.5252645502645661,0.2060572888159095,4071.0
211586.SO_0073,0.042630385487528344,0.011164350190159043,0.4711722793559243,0.00028439853979778665,1.7795263014518599e+105,0.0002794374319697614,2180.0000000000277,0.49433106575964536,0.1199795198543634,3230.0
211586.SO_0083,0.018594104308390022,0.0059216003195683336,0.45162900757942803,0.00019216180125051482,5.008167521474139e+104,0.00020024722636925716,2079.283333333292,0.4714928193499495,0.13941583860283047,1629.0
211586.SO_0129,0.02018140589569161,0.006098269169683127,0.4552367919537009,0.0001320569265869187,5.3105956837452143e+104,0.00014768977886836916,2093.8666666666372,0.4747996976568314,0.11057201225740551,1559.0
211586.SO_0139,0.0272108843537415,0.007195487743057896,0.4615575299928183,0.00018056613768945934,7.393617300518876e+104,0.00019387330021228378,2126.1666666666592,0.4821239606953869,0.12170868347338935,2075.0
211586.SO_0224,0.12562358276643992,0.05854574495298294,0.5033295982612667,0.001057485185425263,4.895907402926142e+106,0.0010126009324867198,2400.7500000000578,0.5443877551020546,0.19540282411003976,4404.0
211586.SO_0274,0.06167800453514739,0.0237530460424053,0.4797231264503906,0.00045428838254810757,8.058545656593666e+105,0.0004423504284257117,2235.7500000000523,0.5069727891156645,0.1466789667896679,3635.0
211586.SO_0286,0.08321995464852608,0.037569781334024874,0.48604645964130744,0.0005209058450667914,2.0161263169268466e+106,0.0005100299518698908,2286.9166666667334,0.51857520786094,0.19416030136537574,4105.0
211586.SO_0289,0.029024943310657598,0.010659465230535296,0.462969765524554,0.0002136014159497753,1.622853337294808e+105,0.00022048899693646667,2134.249999999998,0.4839569160997724,0.1687992125984252,2104.0
211586.SO_0406,0.10566893424036282,0.04824221152892896,0.49476011248638213,0.0007953789212731931,3.3242777008064103e+106,0.0007597113399772191,2346.416666666729,0.5320672713530015,0.18962573261341087,4371.0
211586.SO_0497,0.04149659863945578,0.00717828403874441,0.46865613987415605,0.00031142522990209556,7.351592562962681e+104,0.0003046252956290395,2170.3333333333567,0.49213907785336936,0.152284873596349,3264.0
